,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",$39.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
1,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",$39.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
2,,,,,,,,,
3,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",$39.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
4,"Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal",$84.99,n/a,4.6 out of 5,7.0,0.0,no Description,0.0,0.0
5,"Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal",$84.99,n/a,4.6 out of 5,7.0,0.0,no Description,0.0,0.0
6,,,,,,,,,
7,"Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal",$84.99,n/a,4.6 out of 5,7.0,0.0,no Description,0.0,0.0
8,"Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Satin Nickel",$99.99,n/a,4.7 out of 5,6.0,0.0,no Description,0.0,0.0
9,"Ring Video Doorbell – 2020 release – 1080p HD video, improved motion detection, easy installation – Satin Nickel",$99.99,n/a,4.7 out of 5,6.0,0.0,no Description,0.0,0.0
10,,,,,,,,,
11,"Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Satin Nickel",$99.99,n/a,4.7 out of 5,6.0,0.0,no Description,0.0,0.0
12,"Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",$54.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
13,"Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",$54.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
14,,,,,,,,,
15,"Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",$54.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
16,"Blink Video Doorbell (Black) + Mini Camera (Black) with Sync Module 2 | Two-Way Audio, HD Video, Motion and Chime Alerts | Alexa Enabled",$119.97,n/a,4.3 out of 5,5.0,0.0,no Description,0.0,0.0
17,"Blink Video Doorbell (Black) + Mini Camera (Black) with Sync Module 2 | Two-Way Audio, HD Video, Motion and Chime Alerts | Alexa Enabled",$119.97,n/a,4.3 out of 5,5.0,0.0,no Description,0.0,0.0
18,,,,,,,,,
19,"Blink Video Doorbell (Black) + Mini Camera (Black) with Sync Module 2 | Two-Way Audio, HD Video, Motion and Chime Alerts | Alexa Enabled",$119.97,n/a,4.3 out of 5,5.0,0.0,no Description,0.0,0.0
20,"Echo Dot (3rd Gen, 2018 release) - Our most popular smart speaker with Bluetooth and Alexa - Charcoal",$39.99,n/a,4.7 out of 5,6.0,0.0,no Description,0.0,0.0
21,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",$39.99,n/a,4.7 out of 5,6.0,0.0,no Description,0.0,0.0
22,,,,,,,,,
23,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",$39.99,n/a,4.7 out of 5,6.0,0.0,no Description,0.0,0.0
24,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",$139.99,n/a,4.7 out of 5,6.0,6.0,no Description,0.0,0.0
25,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",$139.99,n/a,4.7 out of 5,6.0,6.0,no Description,0.0,0.0
26,,,,,,,,,
27,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",$139.99,n/a,4.7 out of 5,6.0,6.0,no Description,0.0,0.0
28,Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,$59.99,n/a,4.8 out of 5,7.0,0.0,no Description,0.0,0.0
29,,,,,,,,,
30,,,,,,,,,
31,Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,$59.99,n/a,4.8 out of 5,7.0,0.0,no Description,0.0,0.0
32,"Amazon Smart Plug, for home automation, Works with Alexa - A Certified for Humans Device",$24.99,n/a,4.7 out of 5,5.0,0.0,no Description,0.0,0.0
33,"Amazon Smart Plug, for home automation, Works with Alexa - A Certified for Humans Device",$24.99,n/a,4.7 out of 5,5.0,0.0,no Description,0.0,0.0
34,,,,,,,,,
35,"Amazon Smart Plug, for home automation, Works with Alexa - A Certified for Humans Device",$24.99,n/a,4.7 out of 5,5.0,0.0,no Description,0.0,0.0
36,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (Black)",$34.99,n/a,4.4 out of 5,5.0,4.0,no Description,0.0,0.0
37,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (Black)",$34.99,n/a,4.4 out of 5,5.0,4.0,no Description,0.0,0.0
38,,,,,,,,,
39,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (Black)",$34.99,n/a,4.4 out of 5,5.0,4.0,no Description,0.0,0.0
40,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",$49.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
41,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",$49.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
42,,,,,,,,,
43,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",$49.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
44,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",$29.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
45,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",$29.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
46,,,,,,,,,
47,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",$29.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
48,Ring Video Doorbell Wired with Ring Chime,$89.99,n/a,4.5 out of 5,6.0,0.0,no Description,0.0,0.0
49,Ring Video Doorbell Wired with Ring Chime,$89.99,n/a,4.5 out of 5,6.0,0.0,no Description,0.0,0.0
50,,,,,,,,,
51,Ring Video Doorbell Wired with Ring Chime,$89.99,n/a,4.5 out of 5,6.0,0.0,no Description,0.0,0.0
52,"Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls), HD streaming device",$29.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
53,"Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls), HD streaming device",$29.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
54,,,,,,,,,
55,"Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls), HD streaming device",$29.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
56,Ring Rechargeable Battery Pack,$34.99,n/a,4.8 out of 5,3.0,0.0,no Description,0.0,0.0
57,Ring Rechargeable Battery Pack,$34.99,n/a,4.8 out of 5,3.0,0.0,no Description,0.0,0.0
58,,,,,,,,,
59,Ring Rechargeable Battery Pack,$34.99,n/a,4.8 out of 5,3.0,0.0,no Description,0.0,0.0
60,Ring Chime,$34.99,n/a,4.6 out of 5,4.0,0.0,no Description,0.0,0.0
61,Ring Chime,$34.99,n/a,4.6 out of 5,4.0,0.0,no Description,0.0,0.0
62,,,,,,,,,
63,Ring Chime,$34.99,n/a,4.6 out of 5,4.0,0.0,no Description,0.0,0.0
64,"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",$59.99,n/a,4.7 out of 5,6.0,6.0,no Description,0.0,0.0
65,"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",$59.99,n/a,4.7 out of 5,6.0,6.0,no Description,0.0,0.0
66,,,,,,,,,
67,"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",$59.99,n/a,4.7 out of 5,6.0,6.0,no Description,0.0,0.0
68,Ring Chime Pro,$59.99,n/a,4.6 out of 5,6.0,0.0,no Description,0.0,0.0
69,Ring Chime Pro,$59.99,n/a,4.6 out of 5,6.0,0.0,no Description,0.0,0.0
70,,,,,,,,,
71,Ring Chime Pro,$59.99,n/a,4.6 out of 5,6.0,0.0,no Description,0.0,0.0
72,Echo Dot (4th Gen) | Smart speaker with Alexa | Glacier White,$49.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
73,Echo Dot (4th Gen) | Smart speaker with Alexa | Glacier White,$49.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
74,,,,,,,,,
75,Echo Dot (4th Gen) | Smart speaker with Alexa | Glacier White,$49.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
76,Made for Amazon SanDisk 128GB microSD Memory Card for Fire Tablets and Fire -TV,$14.79,n/a,4.6 out of 5,2.0,0.0,no description,0.0,0.0
77,Made for Amazon SanDisk 128GB microSD Memory Card for Fire Tablets and Fire -TV,$14.79,n/a,4.6 out of 5,2.0,0.0,no description,0.0,0.0
78,,,,,,,,,
79,Made for Amazon SanDisk 128GB microSD Memory Card for Fire Tablets and Fire -TV,$14.79,n/a,4.6 out of 5,2.0,0.0,no description,0.0,0.0
80,Blink Add-On Sync Module 2,$34.99,n/a,4.5 out of 5,5.0,0.0,no Description,0.0,0.0
81,Blink Add-On Sync Module 2,$34.99,n/a,4.5 out of 5,5.0,0.0,no Description,0.0,0.0
82,,,,,,,,,
83,Blink Add-On Sync Module 2,$34.99,n/a,4.5 out of 5,5.0,0.0,no Description,0.0,0.0
84,"Insignia 50-inch Class F30 Series LED 4K UHD Smart Fire TV (NS-50F301NA22, 2021 Model)",$239.99,n/a,4.6 out of 5,6.0,3.0,no Description,0.0,0.0
85,"Insignia 50-inch Class F30 Series LED 4K UHD Smart Fire TV (NS-50F301NA22, 2021 Model)",$239.99,n/a,4.6 out of 5,6.0,3.0,no Description,0.0,0.0
86,,,,,,,,,
87,"Insignia 50-inch Class F30 Series LED 4K UHD Smart Fire TV (NS-50F301NA22, 2021 Model)",$239.99,n/a,4.6 out of 5,6.0,3.0,no Description,0.0,0.0
88,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),$9.99,n/a,4.5 out of 5,1.0,0.0,no description,0.0,0.0
89,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),$9.99,n/a,4.5 out of 5,1.0,0.0,no description,0.0,0.0
90,,,,,,,,,
91,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),$9.99,n/a,4.5 out of 5,1.0,0.0,no description,0.0,0.0
92,"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads",$189.99,n/a,4.7 out of 5,6.0,5.0,no Description,0.0,0.0
93,"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads",$189.99,n/a,4.7 out of 5,6.0,5.0,no Description,0.0,0.0
94,,,,,,,,,
95,"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads",$189.99,n/a,4.7 out of 5,6.0,5.0,no Description,0.0,0.0
96,"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - Black",$99.99,n/a,4.7 out of 5,6.0,0.0,no Description,0.0,0.0
97,"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - Black",$99.99,n/a,4.7 out of 5,6.0,0.0,no Description,0.0,0.0
98,,,,,,,,,
99,"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - Black",$99.99,n/a,4.7 out of 5,6.0,0.0,no Description,0.0,0.0
100,Echo Show 5 (2nd Gen) Adjustable Stand | Charcoal,$11.99,n/a,4.7 out of 5,3.0,0.0,no Description,0.0,0.0
101,Echo Show 5 (2nd Gen) Adjustable Stand | Charcoal,$11.99,n/a,4.7 out of 5,3.0,0.0,no Description,0.0,0.0
102,,,,,,,,,
103,Echo Show 5 (2nd Gen) Adjustable Stand | Charcoal,$11.99,n/a,4.7 out of 5,3.0,0.0,no Description,0.0,0.0
104,"Certified Refurbished Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera kit",$94.99,n/a,4.3 out of 5,6.0,0.0,no Description,0.0,0.0
105,"Certified Refurbished Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera kit",$94.99,n/a,4.3 out of 5,6.0,0.0,no Description,0.0,0.0
106,,,,,,,,,
107,"Certified Refurbished Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera kit",$94.99,n/a,4.3 out of 5,6.0,0.0,no Description,0.0,0.0
108,Ring Solar Panel Black - Compatible with Ring Spotlight Cam Battery and Stick Up Cam Battery,$59.99,n/a,4.7 out of 5,3.0,0.0,no Description,0.0,0.0
109,Ring Solar Panel Black - Compatible with Ring Spotlight Cam Battery and Stick Up Cam Battery,$59.99,n/a,4.7 out of 5,3.0,0.0,no Description,0.0,0.0
110,,,,,,,,,
111,Ring Solar Panel Black - Compatible with Ring Spotlight Cam Battery and Stick Up Cam Battery,$59.99,n/a,4.7 out of 5,3.0,0.0,no Description,0.0,0.0
112,"Alexa Voice Remote (3rd Gen) with TV controls, Requires compatible Fire TV device, 2021 release",$29.99,n/a,4.5 out of 5,5.0,0.0,no Description,0.0,0.0
113,"Alexa Voice Remote (3rd Gen) with TV controls, Requires compatible Fire TV device, 2021 release",$29.99,n/a,4.5 out of 5,5.0,0.0,no Description,0.0,0.0
114,,,,,,,,,
115,"Alexa Voice Remote (3rd Gen) with TV controls, Requires compatible Fire TV device, 2021 release",$29.99,n/a,4.5 out of 5,5.0,0.0,no Description,0.0,0.0
116,Spare Parts for Ring Video Doorbell,$1.99,n/a,4.7 out of 5,1.0,0.0,no Description,0.0,0.0
117,Spare Parts for Ring Video Doorbell,$1.99,n/a,4.7 out of 5,1.0,0.0,no Description,0.0,0.0
118,,,,,,,,,
119,Spare Parts for Ring Video Doorbell,$1.99,n/a,4.7 out of 5,1.0,0.0,no Description,0.0,0.0
