,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"SmartyPants Kids Formula Daily Gummy Multivitamin: Vitamin C, D3, and Zinc for Immunity, Gluten Free, Omega 3 Fish Oil, Vitamin B6, B12, Cherry Berry, 120 Count (30 Day Supply)",$15.59,n/a,4.6 out of 5,7.0,0.0,"SmartyPants Kids Formula Cherry Berry is a multifunctional gummy multivitamin that contains more of the nutrients parents want in a delicious format that kids love! Each serving delivers a robust blend of vitamins and nutrients including omega-3 EPA and DHA essential fatty acids (from fish oil), vitamin D in the premium form D3 for bone health, vitamin B12 to support energy metabolism, folate in the premium form methylfolate to help form red blood cells, iodine for thyroid support and the antioxidant vitamin E for the maintenance of good health all in one easy (and delicious) serving.* We use nutrient forms that your child's body can easily use to help fill nutritional gaps and support overall good health, without any of the icky stuff. Our gummy multivitamins are non-GMO and made without any synthetic colors, artificial flavors or sweeteners.",137.0,2.0
1,"SmartyPants Kids Formula Daily Gummy Multivitamin: Vitamin C, D3, and Zinc for Immunity, Gluten Free, Omega 3 Fish Oil, Vitamin B6, B12, Cherry Berry, 120 Count (30 Day Supply)",$15.59,n/a,4.6 out of 5,7.0,0.0,"SmartyPants Kids Formula Cherry Berry is a multifunctional gummy multivitamin that contains more of the nutrients parents want in a delicious format that kids love! Each serving delivers a robust blend of vitamins and nutrients including omega-3 EPA and DHA essential fatty acids (from fish oil), vitamin D in the premium form D3 for bone health, vitamin B12 to support energy metabolism, folate in the premium form methylfolate to help form red blood cells, iodine for thyroid support and the antioxidant vitamin E for the maintenance of good health all in one easy (and delicious) serving.* We use nutrient forms that your child's body can easily use to help fill nutritional gaps and support overall good health, without any of the icky stuff. Our gummy multivitamins are non-GMO and made without any synthetic colors, artificial flavors or sweeteners.",137.0,2.0
2,,,,,,,,,
3,"SmartyPants Kids Formula Daily Gummy Multivitamin: Vitamin C, D3, and Zinc for Immunity, Gluten Free, Omega 3 Fish Oil, Vitamin B6, B12, Cherry Berry, 120 Count (30 Day Supply)",$15.59,n/a,4.6 out of 5,7.0,0.0,"SmartyPants Kids Formula Cherry Berry is a multifunctional gummy multivitamin that contains more of the nutrients parents want in a delicious format that kids love! Each serving delivers a robust blend of vitamins and nutrients including omega-3 EPA and DHA essential fatty acids (from fish oil), vitamin D in the premium form D3 for bone health, vitamin B12 to support energy metabolism, folate in the premium form methylfolate to help form red blood cells, iodine for thyroid support and the antioxidant vitamin E for the maintenance of good health all in one easy (and delicious) serving.* We use nutrient forms that your child's body can easily use to help fill nutritional gaps and support overall good health, without any of the icky stuff. Our gummy multivitamins are non-GMO and made without any synthetic colors, artificial flavors or sweeteners.",137.0,2.0
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,"Hint Water Best Sellers Pack (Pack of 12), 16 Ounce Bottles, 3 Bottles Each of: Watermelon, Blackberry, Cherry, and Pineapple, Zero Calories, Zero Sugar and Zero Sweeteners",$20.99,n/a,4.5 out of 5,6.0,1.0,"At Hint, we don't make water – we make water absolutely delicious. No sugar, no sweeteners, just crisp, pure water with a touch of true fruit flavor. Hint has over 18 refreshing fruit flavors, including watermelon, pineapple, clementine, and blackberry. It’s an anytime, guilt-free treat and a delicious way to stay hydrated. Hint Water is also vegan, gluten-free, nut-free and kosher certified.",61.0,0.0
8,"Hint Water Best Sellers Pack (Pack of 12), 16 Ounce Bottles, 3 Bottles Each of: Watermelon, Blackberry, Cherry, and Pineapple, Zero Calories, Zero Sugar and Zero Sweeteners",$20.99,n/a,4.5 out of 5,6.0,1.0,"At Hint, we don't make water – we make water absolutely delicious. No sugar, no sweeteners, just crisp, pure water with a touch of true fruit flavor. Hint has over 18 refreshing fruit flavors, including watermelon, pineapple, clementine, and blackberry. It’s an anytime, guilt-free treat and a delicious way to stay hydrated. Hint Water is also vegan, gluten-free, nut-free and kosher certified.",61.0,0.0
9,,,,,,,,,
10,"Hint Water Best Sellers Pack (Pack of 12), 16 Ounce Bottles, 3 Bottles Each of: Watermelon, Blackberry, Cherry, and Pineapple, Zero Calories, Zero Sugar and Zero Sweeteners",$20.99,n/a,4.5 out of 5,6.0,1.0,"At Hint, we don't make water – we make water absolutely delicious. No sugar, no sweeteners, just crisp, pure water with a touch of true fruit flavor. Hint has over 18 refreshing fruit flavors, including watermelon, pineapple, clementine, and blackberry. It’s an anytime, guilt-free treat and a delicious way to stay hydrated. Hint Water is also vegan, gluten-free, nut-free and kosher certified.",61.0,0.0
11,"Bug Bite Thing Suction Tool, Poison Remover - Bug Bites and Bee/Wasp Stings, Natural Insect Bite Relief, Chemical Free - White/Single",$9.85,n/a,4 out of 5,5.0,6.0,no Description,0.0,0.0
12,"Bug Bite Thing Suction Tool, Poison Remover - Bug Bites and Bee/Wasp Stings, Natural Insect Bite Relief, Chemical Free - White/Single",$9.85,n/a,4 out of 5,5.0,6.0,no Description,0.0,0.0
13,,,,,,,,,
14,"Bug Bite Thing Suction Tool, Poison Remover - Bug Bites and Bee/Wasp Stings, Natural Insect Bite Relief, Chemical Free - White/Single",$9.85,n/a,4 out of 5,5.0,6.0,no Description,0.0,0.0
15,"Bloom Nutrition Green Superfood | Super Greens Powder Juice & Smoothie Mix | Complete Whole Foods (Organic Spirulina, Chlorella, Wheat Grass), Probiotics, Digestive Enzymes, & Antioxidants (Berry)",$39.99,n/a,4.5 out of 5,6.0,1.0,no Description,0.0,0.0
16,"Bloom Nutrition Green Superfood | Super Greens Powder Juice & Smoothie Mix | Complete Whole Foods (Organic Spirulina, Chlorella, Wheat Grass), Probiotics, Digestive Enzymes, & Antioxidants (Berry)",$39.99,n/a,4.5 out of 5,6.0,1.0,no Description,0.0,0.0
17,,,,,,,,,
18,"Bloom Nutrition Green Superfood | Super Greens Powder Juice & Smoothie Mix | Complete Whole Foods (Organic Spirulina, Chlorella, Wheat Grass), Probiotics, Digestive Enzymes, & Antioxidants (Berry)",$39.99,n/a,4.5 out of 5,6.0,1.0,no Description,0.0,0.0
19,"DUDE Wipes Flushable Wipes Dispenser, Unscented Wet Wipes with Vitamin-E & Aloe for at-Home Use, Septic and Sewer Safe, 48 Count (Pack of 6)",$15.36,n/a,4.8 out of 5,6.0,6.0,"Send toilet paper back to the Stone Age where it belongs with DUDE Wipes at home packs. Our easy dispensers serve you flushable wipes that are 35% larger than average to tackle any job your butt or DUDE regions require. Made with 99% water and plant-based ingredients, including Aloe Vera and Vitamin E, DUDE Unscented Wipes are gentle on your skin and will leave you feeling refreshed and ready for whatever the day brings. Traveling or on the go? Don't get caught with your pants down away from home, travel DUDE-style with our individually-wrapped wipes to keep your DUDE parts fresh wherever you go.",103.0,0.0
20,"DUDE Wipes Flushable Wipes Dispenser, Unscented Wet Wipes with Vitamin-E & Aloe for at-Home Use, Septic and Sewer Safe, 48 Count (Pack of 6)",$15.36,n/a,4.8 out of 5,6.0,6.0,"Send toilet paper back to the Stone Age where it belongs with DUDE Wipes at home packs. Our easy dispensers serve you flushable wipes that are 35% larger than average to tackle any job your butt or DUDE regions require. Made with 99% water and plant-based ingredients, including Aloe Vera and Vitamin E, DUDE Unscented Wipes are gentle on your skin and will leave you feeling refreshed and ready for whatever the day brings. Traveling or on the go? Don't get caught with your pants down away from home, travel DUDE-style with our individually-wrapped wipes to keep your DUDE parts fresh wherever you go.",103.0,0.0
21,,,,,,,,,
