,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Silonn Ice Makers Countertop, 9 Cubes Ready in 6 Mins, 26lbs in 24Hrs, Self-Cleaning Ice Machine with Ice Scoop and Basket, 2 Sizes of Bullet Ice for Home Kitchen Office Bar Party",$99.99,n/a,4.5 out of 5,6.0,6.0,Ice in 6 mins - Self Cleaning - Portable - 2 Types Of Ice - 26LBS Ice Per Day - Cooler Drinks Faster - Ice Scoop & Basket Included - Transparent Lid - US Based Phone Service.,36.0,0.0
1,"Silonn Ice Makers Countertop, 9 Cubes Ready in 6 Mins, 26lbs in 24Hrs, Self-Cleaning Ice Machine with Ice Scoop and Basket, 2 Sizes of Bullet Ice for Home Kitchen Office Bar Party",$99.99,n/a,4.5 out of 5,6.0,6.0,Ice in 6 mins - Self Cleaning - Portable - 2 Types Of Ice - 26LBS Ice Per Day - Cooler Drinks Faster - Ice Scoop & Basket Included - Transparent Lid - US Based Phone Service.,36.0,0.0
2,,,,,,,,,
3,"Silonn Ice Makers Countertop, 9 Cubes Ready in 6 Mins, 26lbs in 24Hrs, Self-Cleaning Ice Machine with Ice Scoop and Basket, 2 Sizes of Bullet Ice for Home Kitchen Office Bar Party",$99.99,n/a,4.5 out of 5,6.0,6.0,Ice in 6 mins - Self Cleaning - Portable - 2 Types Of Ice - 26LBS Ice Per Day - Cooler Drinks Faster - Ice Scoop & Basket Included - Transparent Lid - US Based Phone Service.,36.0,0.0
4,"ZAFRO Countertop Ice Maker Machine, Portable Compact Ice Cube Maker with Ice Scoop & Basket, 26Lbs/24H Ice Machine for Home/Kitchen/Office/Bar, Black",$84.99,n/a,4.3 out of 5,7.0,0.0,no Description,0.0,0.0
5,"ZAFRO Countertop Ice Maker Machine, Portable Compact Ice Cube Maker with Ice Scoop & Basket, 26Lbs/24H Ice Machine for Home/Kitchen/Office/Bar, Black",$84.99,n/a,4.3 out of 5,7.0,0.0,no Description,0.0,0.0
6,,,,,,,,,
7,"ZAFRO Countertop Ice Maker Machine, Portable Compact Ice Cube Maker with Ice Scoop & Basket, 26Lbs/24H Ice Machine for Home/Kitchen/Office/Bar, Black",$84.99,n/a,4.3 out of 5,7.0,0.0,no Description,0.0,0.0
8,"AGLUCKY Countertop Ice Maker Machine, Portable Ice Makers Countertop, Make 26 lbs ice in 24 hrs,Ice Cube Rready in 6-8 Mins with Ice Scoop and Basket (Black)",$119.99,n/a,4.4 out of 5,6.0,6.0,no Description,0.0,0.0
9,"AGLUCKY Countertop Ice Maker Machine, Portable Ice Makers Countertop, Make 26 lbs ice in 24 hrs,Ice Cube Rready in 6-8 Mins with Ice Scoop and Basket (Black)",$119.99,n/a,4.4 out of 5,6.0,6.0,no Description,0.0,0.0
10,,,,,,,,,
11,"AGLUCKY Countertop Ice Maker Machine, Portable Ice Makers Countertop, Make 26 lbs ice in 24 hrs,Ice Cube Rready in 6-8 Mins with Ice Scoop and Basket (Black)",$119.99,n/a,4.4 out of 5,6.0,6.0,no Description,0.0,0.0
12,"2-Pack Ice Machine Cleaner and Descaler 16 fl oz, Nickel Safe Descaler | Ice Maker Cleaner Compatible with All Major Brands (Scotsman, KitchenAid, Affresh) - Made in USA by Essential Values",$20.99,n/a,4.5 out of 5,6.0,1.0,no Description,0.0,0.0
13,"2-Pack Ice Machine Cleaner and Descaler 16 fl oz, Nickel Safe Descaler | Ice Maker Cleaner Compatible with All Major Brands (Scotsman, KitchenAid, Affresh) - Made in USA by Essential Values",$20.99,n/a,4.5 out of 5,6.0,1.0,no Description,0.0,0.0
14,,,,,,,,,
15,"2-Pack Ice Machine Cleaner and Descaler 16 fl oz, Nickel Safe Descaler | Ice Maker Cleaner Compatible with All Major Brands (Scotsman, KitchenAid, Affresh) - Made in USA by Essential Values",$20.99,n/a,4.5 out of 5,6.0,1.0,no Description,0.0,0.0
16,"Euhomy Ice Maker Machine Countertop, 26 lbs in 24 Hours, 9 Cubes Ready in 6 Mins, Self-Clean Electric Ice Maker Compact Potable Ice Maker with Ice Scoop and Basket. for Home/Kitchen/Office.(Black)",$149.99,n/a,4.5 out of 5,6.0,2.0,no Description,0.0,0.0
17,,,,,,,,,
18,,,,,,,,,
19,"Euhomy Ice Maker Machine Countertop, 26 lbs in 24 Hours, 9 Cubes Ready in 6 Mins, Self-Clean Electric Ice Maker Compact Potable Ice Maker with Ice Scoop and Basket. for Home/Kitchen/Office.(Black)",$149.99,n/a,4.5 out of 5,6.0,2.0,no Description,0.0,0.0
20,"Silonn Countertop Ice Cube Ice Makers, 45lbs Per Day, Auto Self-Cleaning, 24 Pcs Ice Cubes in 13 Min, 2 Ways to Add Water, Compact Ice Machine for Home Office Bar Party SLIM02",$199.99,n/a,4.3 out of 5,6.0,6.0,"Our Silonn Ice Cube Maker can produce 24pcs ice in just 13min, with an output of 45lbs ice daily. This is an amazing feat of engineering since ice usually takes over two hours to be made in a typical fridge freezer, which will not produce enough ice to cool all the drinks needed for a party. Party is no party without a bucket of fresh ice! Our Silonn Ice Machine can make a second, third, or fourth batch in no time. Silonn Ice maker is designed to make ice quickly for immediate use and not for ice storage or for keeping ice frozen. The ice cycle process creates the ice and when it melts, recycles the water to make more ice, you no longer have to worry about running out of ice cubes! Ready to splurge on Silonn high-quality ice maker for delicious ice cubes? Note: Portable ice makers have insulated ice compartments,they are designed to slow down the melting process, but not entirely stop the melting process. If you want to keep all ice made from ever melting, you would need to move the ice from the ice maker to your freezer.",192.0,1.0
21,"Silonn Countertop Ice Cube Ice Makers, 45lbs Per Day, Auto Self-Cleaning, 24 Pcs Ice Cubes in 13 Min, 2 Ways to Add Water, Compact Ice Machine for Home Office Bar Party SLIM02",$199.99,n/a,4.3 out of 5,6.0,6.0,"Our Silonn Ice Cube Maker can produce 24pcs ice in just 13min, with an output of 45lbs ice daily. This is an amazing feat of engineering since ice usually takes over two hours to be made in a typical fridge freezer, which will not produce enough ice to cool all the drinks needed for a party. Party is no party without a bucket of fresh ice! Our Silonn Ice Machine can make a second, third, or fourth batch in no time. Silonn Ice maker is designed to make ice quickly for immediate use and not for ice storage or for keeping ice frozen. The ice cycle process creates the ice and when it melts, recycles the water to make more ice, you no longer have to worry about running out of ice cubes! Ready to splurge on Silonn high-quality ice maker for delicious ice cubes? Note: Portable ice makers have insulated ice compartments,they are designed to slow down the melting process, but not entirely stop the melting process. If you want to keep all ice made from ever melting, you would need to move the ice from the ice maker to your freezer.",192.0,1.0
22,,,,,,,,,
23,"Silonn Countertop Ice Cube Ice Makers, 45lbs Per Day, Auto Self-Cleaning, 24 Pcs Ice Cubes in 13 Min, 2 Ways to Add Water, Compact Ice Machine for Home Office Bar Party SLIM02",$199.99,n/a,4.3 out of 5,6.0,6.0,"Our Silonn Ice Cube Maker can produce 24pcs ice in just 13min, with an output of 45lbs ice daily. This is an amazing feat of engineering since ice usually takes over two hours to be made in a typical fridge freezer, which will not produce enough ice to cool all the drinks needed for a party. Party is no party without a bucket of fresh ice! Our Silonn Ice Machine can make a second, third, or fourth batch in no time. Silonn Ice maker is designed to make ice quickly for immediate use and not for ice storage or for keeping ice frozen. The ice cycle process creates the ice and when it melts, recycles the water to make more ice, you no longer have to worry about running out of ice cubes! Ready to splurge on Silonn high-quality ice maker for delicious ice cubes? Note: Portable ice makers have insulated ice compartments,they are designed to slow down the melting process, but not entirely stop the melting process. If you want to keep all ice made from ever melting, you would need to move the ice from the ice maker to your freezer.",192.0,1.0
24,Gevi Nugget Ice Maker Countertop with Thick Insulation | Self-Cleaning Pellet Ice Machine | Quietly Making Max 29Lb/Day | Stainless Steel Housing | Portable Design for Home Kitchen (GIMN-1102 Black),$399.99,n/a,4.5 out of 5,6.0,4.0,no Description,0.0,0.0
25,Gevi Nugget Ice Maker Countertop with Thick Insulation | Self-Cleaning Pellet Ice Machine | Quietly Making Max 29Lb/Day | Stainless Steel Housing | Portable Design for Home Kitchen (GIMN-1102 Black),$399.99,n/a,4.5 out of 5,6.0,4.0,no Description,0.0,0.0
26,,,,,,,,,
27,Gevi Nugget Ice Maker Countertop with Thick Insulation | Self-Cleaning Pellet Ice Machine | Quietly Making Max 29Lb/Day | Stainless Steel Housing | Portable Design for Home Kitchen (GIMN-1102 Black),$399.99,n/a,4.5 out of 5,6.0,4.0,no Description,0.0,0.0
28,Premium Clear Ice Ball Maker Mold - Whiskey Ice Ball Maker Large 2.4 Inch - Crystal Clear Ice Maker Sphere - Sphere Ice Mold Maker with Storage Bag - Clear Ice Mold for Clear Sphere Ball Ice Maker,$59.95,n/a,4.5 out of 5,6.0,1.0,no Description,0.0,0.0
29,Premium Clear Ice Ball Maker Mold - Whiskey Ice Ball Maker Large 2.4 Inch - Crystal Clear Ice Maker Sphere - Sphere Ice Mold Maker with Storage Bag - Clear Ice Mold for Clear Sphere Ball Ice Maker,$59.95,n/a,4.5 out of 5,6.0,1.0,no Description,0.0,0.0
30,,,,,,,,,
31,Premium Clear Ice Ball Maker Mold - Whiskey Ice Ball Maker Large 2.4 Inch - Crystal Clear Ice Maker Sphere - Sphere Ice Mold Maker with Storage Bag - Clear Ice Mold for Clear Sphere Ball Ice Maker,$59.95,n/a,4.5 out of 5,6.0,1.0,no Description,0.0,0.0
32,hOmeLabs Portable Ice Maker Machine for Counter Top - Makes 26 lbs of Ice per 24 hours - Ice Cubes ready in 6 Minutes - Electric Ice Making Machine with Ice Scoop and 1.5 lb Ice Storage - Silver,$89.99,n/a,4.4 out of 5,7.0,0.0,no Description,0.0,0.0
33,hOmeLabs Portable Ice Maker Machine for Counter Top - Makes 26 lbs of Ice per 24 hours - Ice Cubes ready in 6 Minutes - Electric Ice Making Machine with Ice Scoop and 1.5 lb Ice Storage - Silver,$89.99,n/a,4.4 out of 5,7.0,0.0,no Description,0.0,0.0
34,,,,,,,,,
35,hOmeLabs Portable Ice Maker Machine for Counter Top - Makes 26 lbs of Ice per 24 hours - Ice Cubes ready in 6 Minutes - Electric Ice Making Machine with Ice Scoop and 1.5 lb Ice Storage - Silver,$89.99,n/a,4.4 out of 5,7.0,0.0,no Description,0.0,0.0
