,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Baby Wipes, Pampers Sensitive Water Based Baby Diaper Wipes, Hypoallergenic and Unscented, 8 Pop-Top Packs with 4 Refill Packs for Dispenser Tub, 864 Total Wipes (Packaging May Vary)",$31.45,n/a,4.8 out of 5,7.0,0.0,"Includes: 8 Pampers Sensitive Pop-Top packs (72 ct) and 4 Pampers Sensitive refill packs (72 ct), all bundled together for you",20.0,0.0
1,"Baby Wipes, Pampers Sensitive Water Based Baby Diaper Wipes, Hypoallergenic and Unscented, 8 Pop-Top Packs with 4 Refill Packs for Dispenser Tub, 864 Total Wipes (Packaging May Vary)",$31.45,n/a,4.8 out of 5,7.0,0.0,"Includes: 8 Pampers Sensitive Pop-Top packs (72 ct) and 4 Pampers Sensitive refill packs (72 ct), all bundled together for you",20.0,0.0
2,,,,,,,,,
3,"Baby Wipes, Pampers Sensitive Water Based Baby Diaper Wipes, Hypoallergenic and Unscented, 8 Pop-Top Packs with 4 Refill Packs for Dispenser Tub, 864 Total Wipes (Packaging May Vary)",$31.45,n/a,4.8 out of 5,7.0,0.0,"Includes: 8 Pampers Sensitive Pop-Top packs (72 ct) and 4 Pampers Sensitive refill packs (72 ct), all bundled together for you",20.0,0.0
4,"Pampers Baby Diapers and Wipes Starter Kit, Swaddlers Disposable Baby Diapers Sizes 1 (198 Count) & (186 Count) with Sensitive Water-Based Baby Wipes, 12 Pop-Top and Refill Combo Packs, 864 Count",$136.05,n/a,4.9 out of 5,7.0,0.0,no description,0.0,0.0
5,"Pampers Baby Diapers and Wipes Starter Kit, Swaddlers Disposable Baby Diapers Sizes 1 (198 Count) & (186 Count) with Sensitive Water-Based Baby Wipes, 12 Pop-Top and Refill Combo Packs, 864 Count",$136.05,n/a,4.9 out of 5,7.0,0.0,no description,0.0,0.0
6,,,,,,,,,
7,"Pampers Baby Diapers and Wipes Starter Kit, Swaddlers Disposable Baby Diapers Sizes 1 (198 Count) & (186 Count) with Sensitive Water-Based Baby Wipes, 12 Pop-Top and Refill Combo Packs, 864 Count",$136.05,n/a,4.9 out of 5,7.0,0.0,no description,0.0,0.0
8,"Baby Wipes, Huggies Natural Care Sensitive Baby Diaper Wipes, Unscented, Hypoallergenic, 10 Flip-Top Packs (560 Wipes Total)",$15.27,n/a,4.9 out of 5,6.0,3.0,"Huggies Natural Care Sensitive Baby Wipes are plant-based wipes, made with 99% purified water and 1% skin essential ingredients for a gentle clean. Infused with aloe & vitamin E, the unique base sheet locks-in and absorbs the mess to help keep baby's skin clean and moisturized. Safe for sensitive skin with no harsh ingredients, Huggies Natural Care unscented diaper wipes are hypoallergenic, dermatologically tested and pH-balanced to help maintain healthy skin. The wipes are fragrance free, alcohol free, paraben free and do not contain phenoxyethanol or MIT, earning these diaper wipes the National Eczema Association’s seal of approval. Huggies Natural Care unscented baby wipes are extra soft & gentle, making them ideal for sensitive newborn skin. Plus, with EZ Pull 1-Handed Dispensing, it is easy to grab wipes without wasting sheets! With the #1 branded wipe* you can feel confident you are giving baby a safe, gentle clean every time. Join the Huggies Rewards Powered by Fetch to get rewarded fast. Earn points on Huggies diapers and wipes, in addition to thousands of other products to redeem for hundreds of gift cards. Check out the Fetch Rewards app to get started today! (*Based on US and Canada Nielsen sales ending 11/21/2020)",200.0,2.0
9,"Baby Wipes, Huggies Natural Care Sensitive Baby Diaper Wipes, Unscented, Hypoallergenic, 10 Flip-Top Packs (560 Wipes Total)",$15.27,n/a,4.9 out of 5,6.0,3.0,"Huggies Natural Care Sensitive Baby Wipes are plant-based wipes, made with 99% purified water and 1% skin essential ingredients for a gentle clean. Infused with aloe & vitamin E, the unique base sheet locks-in and absorbs the mess to help keep baby's skin clean and moisturized. Safe for sensitive skin with no harsh ingredients, Huggies Natural Care unscented diaper wipes are hypoallergenic, dermatologically tested and pH-balanced to help maintain healthy skin. The wipes are fragrance free, alcohol free, paraben free and do not contain phenoxyethanol or MIT, earning these diaper wipes the National Eczema Association’s seal of approval. Huggies Natural Care unscented baby wipes are extra soft & gentle, making them ideal for sensitive newborn skin. Plus, with EZ Pull 1-Handed Dispensing, it is easy to grab wipes without wasting sheets! With the #1 branded wipe* you can feel confident you are giving baby a safe, gentle clean every time. Join the Huggies Rewards Powered by Fetch to get rewarded fast. Earn points on Huggies diapers and wipes, in addition to thousands of other products to redeem for hundreds of gift cards. Check out the Fetch Rewards app to get started today! (*Based on US and Canada Nielsen sales ending 11/21/2020)",200.0,2.0
