,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Princess False Lash Effect Mascara | Gluten & Cruelty Free, 2 Pack",$4.00,n/a,4.4 out of 5,1.0,0.0,1,0.0,0.0
1,"Princess False Lash Effect Mascara | Gluten & Cruelty Free, 2 Pack",$4.00,n/a,4.4 out of 5,1.0,0.0,1,0.0,0.0
2,,,,,,,,,
3,"Princess False Lash Effect Mascara | Gluten & Cruelty Free, 2 Pack",$4.00,n/a,4.4 out of 5,1.0,0.0,1,0.0,0.0
4,"Mighty Patch Original from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count)",$12.99,n/a,4.5 out of 5,6.0,6.0,no Description,0.0,0.0
5,"Mighty Patch Original from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count)",$12.99,n/a,4.5 out of 5,6.0,6.0,no Description,0.0,0.0
6,,,,,,,,,
7,"Mighty Patch Original from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count)",$12.99,n/a,4.5 out of 5,6.0,6.0,no Description,0.0,0.0
8,"Makeup Remover Cleansing Face Wipes, Daily Cleansing Facial Towelettes to Remove Waterproof Makeup and Mascara, Alcohol-Free, Value Twin Pack, 25 Count, 2 Pack, 1 Box",$6.99,n/a,4.8 out of 5,1.0,0.0,1,0.0,0.0
9,"Makeup Remover Cleansing Face Wipes, Daily Cleansing Facial Towelettes to Remove Waterproof Makeup and Mascara, Alcohol-Free, Value Twin Pack, 25 Count, 2 Pack, 1 Box",$6.99,n/a,4.8 out of 5,1.0,0.0,1,0.0,0.0
10,,,,,,,,,
11,"Makeup Remover Cleansing Face Wipes, Daily Cleansing Facial Towelettes to Remove Waterproof Makeup and Mascara, Alcohol-Free, Value Twin Pack, 25 Count, 2 Pack, 1 Box",$6.99,n/a,4.8 out of 5,1.0,0.0,1,0.0,0.0
12,"Paula's Choice Skin Perfecting 2% BHA Liquid Salicylic Acid Exfoliant, Gentle Facial Exfoliator for Blackheads, Large Pores, Wrinkles & Fine Lines, Travel Size, 1 Fluid Ounce - PACKAGING MAY VARY",$11.00,n/a,4.6 out of 5,6.0,6.0,no Description,0.0,0.0
13,"Paula's Choice Skin Perfecting 2% BHA Liquid Salicylic Acid Exfoliant, Gentle Facial Exfoliator for Blackheads, Large Pores, Wrinkles & Fine Lines, Travel Size, 1 Fluid Ounce - PACKAGING MAY VARY",$11.00,n/a,4.6 out of 5,6.0,6.0,no Description,0.0,0.0
14,,,,,,,,,
15,"Paula's Choice Skin Perfecting 2% BHA Liquid Salicylic Acid Exfoliant, Gentle Facial Exfoliator for Blackheads, Large Pores, Wrinkles & Fine Lines, Travel Size, 1 Fluid Ounce - PACKAGING MAY VARY",$11.00,n/a,4.6 out of 5,6.0,6.0,no Description,0.0,0.0
16,"PanOxyl Acne Foaming Wash Benzoyl Peroxide 10% Maximum Strength Antimicrobial, 5.5 Ounce (Pack of 1)",$9.37,n/a,4.6 out of 5,6.0,4.0,"Panoxyl Maximum Strength acne foaming face Wash, contains 10% benzoyl peroxide. Maximum strength foaming wash. Effectively penetrates pores killing the bacteria that cause acne. Clears existing acne blemishes and prevents new blemishes from forming. The highest strength of benzoyl peroxide available without a prescription. Gently removes dirt and excess oil to cleanse and unclog pores. Makes it an excellent choice for the management of acne on the face, chest and back.",70.0,1.0
17,"PanOxyl Acne Foaming Wash Benzoyl Peroxide 10% Maximum Strength Antimicrobial, 5.5 Ounce (Pack of 1)",$9.37,n/a,4.6 out of 5,6.0,4.0,"Panoxyl Maximum Strength acne foaming face Wash, contains 10% benzoyl peroxide. Maximum strength foaming wash. Effectively penetrates pores killing the bacteria that cause acne. Clears existing acne blemishes and prevents new blemishes from forming. The highest strength of benzoyl peroxide available without a prescription. Gently removes dirt and excess oil to cleanse and unclog pores. Makes it an excellent choice for the management of acne on the face, chest and back.",70.0,1.0
18,,,,,,,,,
19,"PanOxyl Acne Foaming Wash Benzoyl Peroxide 10% Maximum Strength Antimicrobial, 5.5 Ounce (Pack of 1)",$9.37,n/a,4.6 out of 5,6.0,4.0,"Panoxyl Maximum Strength acne foaming face Wash, contains 10% benzoyl peroxide. Maximum strength foaming wash. Effectively penetrates pores killing the bacteria that cause acne. Clears existing acne blemishes and prevents new blemishes from forming. The highest strength of benzoyl peroxide available without a prescription. Gently removes dirt and excess oil to cleanse and unclog pores. Makes it an excellent choice for the management of acne on the face, chest and back.",70.0,1.0
20,KISS Falscara DIY Eyelash Extension Wisp Applicator for Mistake-Proof Artificial Lash Placement – Ergonomically Designed Handle to Easily Build Your Featherlight Synthetic Reusable Eyelash Clusters,"KISS Falscara DIY Eyelash Extension Bond &amp; Seal Infused with Biotin &amp; Vitamin E – Strong Gentle Comfortable Lash Adhesive for All Day Wear For Use With Falscara Lash Wisps, Remover, and Applicator",n/a,4.2 out of 5,6.0,2.0,no Description,0.0,0.0
21,KISS Falscara DIY Eyelash Extension Wisp Applicator for Mistake-Proof Artificial Lash Placement – Ergonomically Designed Handle to Easily Build Your Featherlight Synthetic Reusable Eyelash Clusters,"KISS Falscara DIY Eyelash Extension Bond &amp; Seal Infused with Biotin &amp; Vitamin E – Strong Gentle Comfortable Lash Adhesive for All Day Wear For Use With Falscara Lash Wisps, Remover, and Applicator",n/a,4.2 out of 5,6.0,2.0,no Description,0.0,0.0
22,,,,,,,,,
23,KISS Falscara DIY Eyelash Extension Wisp Applicator for Mistake-Proof Artificial Lash Placement – Ergonomically Designed Handle to Easily Build Your Featherlight Synthetic Reusable Eyelash Clusters,"KISS Falscara DIY Eyelash Extension Bond &amp; Seal Infused with Biotin &amp; Vitamin E – Strong Gentle Comfortable Lash Adhesive for All Day Wear For Use With Falscara Lash Wisps, Remover, and Applicator",n/a,4.2 out of 5,6.0,2.0,no Description,0.0,0.0
24,"Bio-Oil Skincare Oil, Body Oil for Scars and Stretch Marks, Hydrates Skin, Non-Greasy, Dermatologist Recommended, Non-Comedogenic, Travel Size, 0.85 Ounces, Pack of 3, For All Skin Types, Vitamin A, E",$17.97,n/a,4.6 out of 5,7.0,0.0,"Give your skin a break while stuck inside! It's the perfect time to take care of your skin with Bio-Oil Skincare Oil. Made for all skin types, this skincare oil can be used to help reduce the appearance of stretch marks, scars, and other marks due to surgery, injury, acne, aging, pregnancy, and more. Its fast-absorbing, non-comedogenic formula won't clog pores. It helps the skin to retain essential moisture to soften skin and provide dry skin relief. It's truly a multiuse oil that's recommended by skin care specialists. Satisfaction Guaranteed. Limitations may apply.",92.0,1.0
25,"Bio-Oil Skincare Oil, Body Oil for Scars and Stretch Marks, Hydrates Skin, Non-Greasy, Dermatologist Recommended, Non-Comedogenic, Travel Size, 0.85 Ounces, Pack of 3, For All Skin Types, Vitamin A, E",$17.97,n/a,4.6 out of 5,7.0,0.0,"Give your skin a break while stuck inside! It's the perfect time to take care of your skin with Bio-Oil Skincare Oil. Made for all skin types, this skincare oil can be used to help reduce the appearance of stretch marks, scars, and other marks due to surgery, injury, acne, aging, pregnancy, and more. Its fast-absorbing, non-comedogenic formula won't clog pores. It helps the skin to retain essential moisture to soften skin and provide dry skin relief. It's truly a multiuse oil that's recommended by skin care specialists. Satisfaction Guaranteed. Limitations may apply.",92.0,1.0
26,,,,,,,,,
27,"Bio-Oil Skincare Oil, Body Oil for Scars and Stretch Marks, Hydrates Skin, Non-Greasy, Dermatologist Recommended, Non-Comedogenic, Travel Size, 0.85 Ounces, Pack of 3, For All Skin Types, Vitamin A, E",$17.97,n/a,4.6 out of 5,7.0,0.0,"Give your skin a break while stuck inside! It's the perfect time to take care of your skin with Bio-Oil Skincare Oil. Made for all skin types, this skincare oil can be used to help reduce the appearance of stretch marks, scars, and other marks due to surgery, injury, acne, aging, pregnancy, and more. Its fast-absorbing, non-comedogenic formula won't clog pores. It helps the skin to retain essential moisture to soften skin and provide dry skin relief. It's truly a multiuse oil that's recommended by skin care specialists. Satisfaction Guaranteed. Limitations may apply.",92.0,1.0
28,"NYX PROFESSIONAL MAKEUP Mechanical Eyeliner Pencil, Aqua Green",$5.49,n/a,4.5 out of 5,6.0,6.0,Take your look to a whole new level of beautiful by emphasizing your eyes! The creamy texture of our mechanical pencil for eyes delivers intense pigmentation while it moisturizes. The formula is renowned for its lasting power. Illuminate your eyes with a variety of 15 mesmerizing eye shades!,47.0,1.0
29,"NYX PROFESSIONAL MAKEUP Mechanical Eyeliner Pencil, Aqua Green",$5.49,n/a,4.5 out of 5,6.0,6.0,Take your look to a whole new level of beautiful by emphasizing your eyes! The creamy texture of our mechanical pencil for eyes delivers intense pigmentation while it moisturizes. The formula is renowned for its lasting power. Illuminate your eyes with a variety of 15 mesmerizing eye shades!,47.0,1.0
30,,,,,,,,,
31,"NYX PROFESSIONAL MAKEUP Mechanical Eyeliner Pencil, Aqua Green",$5.49,n/a,4.5 out of 5,6.0,6.0,Take your look to a whole new level of beautiful by emphasizing your eyes! The creamy texture of our mechanical pencil for eyes delivers intense pigmentation while it moisturizes. The formula is renowned for its lasting power. Illuminate your eyes with a variety of 15 mesmerizing eye shades!,47.0,1.0
