,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,RENAISSANCE,$11.99,n/a,4.4 out of 5,3.0,0.0,no description,0.0,0.0
1,RENAISSANCE,$11.99,n/a,4.4 out of 5,3.0,0.0,no description,0.0,0.0
2,,,,,,,,,
3,RENAISSANCE,$11.99,n/a,4.4 out of 5,3.0,0.0,no description,0.0,0.0
4,ELVIS (Original Motion Picture Soundtrack),$13.96,n/a,3.6 out of 5,1.0,0.0,"Track Listing: 1. Suspicious Minds (Vocal Intro)- Elvis Presley 2. Cotton Candy Land- Stevie Nicks & Chris Isaak 3. Vegas- Doja Cat 4. The King And I- Eminem & CeeLo Green 5. Tupelo Shuffle - Swae Lee & Diplo 6. Baby, Let's Play House- Austin Butler 7. Craw-Fever - Elvis Presley 8. Strange Things Are Happening Every Day- Yola 9. Trouble- Austin Butler 10. Can't Help Falling in Love- Kacey Musgraves 11. I Got A Feelin’ In My Body- Lenesha Randolph 12. Sometimes I Feel Like a Motherless Child- Jazmine Sullivan 13. Edge of Reality (Tame Impala Remix)- Elvis Presley & Tame Impala 14. Power of My Love- Elvis Presley & Jack White 15. Polk Salad Annie (Film Mix)- Elvis Presley 16. Suspicious Minds (Film Edit)- Elvis Presley 17. Burning Love (Film Mix)- Elvis Presley 18. I Got A Feelin’ In My Body (Stuart Price Remix)- Elvis Presley & Stuart Price 19. Don't Fly Away (PNAU Remix)- Elvis Presley & PNAU 20. If I Can Dream- Måneskin 21. Suspicious Minds- Paravi 22. In the Ghetto (World Turns Remix)- Elvis Presley feat. Nardo Wick",182.0,0.0
5,ELVIS (Original Motion Picture Soundtrack),$13.96,n/a,3.6 out of 5,1.0,0.0,"Track Listing: 1. Suspicious Minds (Vocal Intro)- Elvis Presley 2. Cotton Candy Land- Stevie Nicks & Chris Isaak 3. Vegas- Doja Cat 4. The King And I- Eminem & CeeLo Green 5. Tupelo Shuffle - Swae Lee & Diplo 6. Baby, Let's Play House- Austin Butler 7. Craw-Fever - Elvis Presley 8. Strange Things Are Happening Every Day- Yola 9. Trouble- Austin Butler 10. Can't Help Falling in Love- Kacey Musgraves 11. I Got A Feelin’ In My Body- Lenesha Randolph 12. Sometimes I Feel Like a Motherless Child- Jazmine Sullivan 13. Edge of Reality (Tame Impala Remix)- Elvis Presley & Tame Impala 14. Power of My Love- Elvis Presley & Jack White 15. Polk Salad Annie (Film Mix)- Elvis Presley 16. Suspicious Minds (Film Edit)- Elvis Presley 17. Burning Love (Film Mix)- Elvis Presley 18. I Got A Feelin’ In My Body (Stuart Price Remix)- Elvis Presley & Stuart Price 19. Don't Fly Away (PNAU Remix)- Elvis Presley & PNAU 20. If I Can Dream- Måneskin 21. Suspicious Minds- Paravi 22. In the Ghetto (World Turns Remix)- Elvis Presley feat. Nardo Wick",182.0,0.0
6,,,,,,,,,
7,ELVIS (Original Motion Picture Soundtrack),$13.96,n/a,3.6 out of 5,1.0,0.0,"Track Listing: 1. Suspicious Minds (Vocal Intro)- Elvis Presley 2. Cotton Candy Land- Stevie Nicks & Chris Isaak 3. Vegas- Doja Cat 4. The King And I- Eminem & CeeLo Green 5. Tupelo Shuffle - Swae Lee & Diplo 6. Baby, Let's Play House- Austin Butler 7. Craw-Fever - Elvis Presley 8. Strange Things Are Happening Every Day- Yola 9. Trouble- Austin Butler 10. Can't Help Falling in Love- Kacey Musgraves 11. I Got A Feelin’ In My Body- Lenesha Randolph 12. Sometimes I Feel Like a Motherless Child- Jazmine Sullivan 13. Edge of Reality (Tame Impala Remix)- Elvis Presley & Tame Impala 14. Power of My Love- Elvis Presley & Jack White 15. Polk Salad Annie (Film Mix)- Elvis Presley 16. Suspicious Minds (Film Edit)- Elvis Presley 17. Burning Love (Film Mix)- Elvis Presley 18. I Got A Feelin’ In My Body (Stuart Price Remix)- Elvis Presley & Stuart Price 19. Don't Fly Away (PNAU Remix)- Elvis Presley & PNAU 20. If I Can Dream- Måneskin 21. Suspicious Minds- Paravi 22. In the Ghetto (World Turns Remix)- Elvis Presley feat. Nardo Wick",182.0,0.0
8,Precious Memories Collection,$14.49,n/a,4.8 out of 5,4.0,0.0,"The two disc collection features Precious Memories, Precious Memories Volume II, as well as, two previously unreleased songs - ""It's All About Him"" inspired by Denise's book of the same title and ""That's The Way"" which Alan sang to Denise at their wedding. the same title hoping to add musically to an already uplifting story."" Volumes 1 & II combined have sold 2.3 million copies to date.",66.0,1.0
9,Precious Memories Collection,$14.49,n/a,4.8 out of 5,4.0,0.0,"The two disc collection features Precious Memories, Precious Memories Volume II, as well as, two previously unreleased songs - ""It's All About Him"" inspired by Denise's book of the same title and ""That's The Way"" which Alan sang to Denise at their wedding. the same title hoping to add musically to an already uplifting story."" Volumes 1 & II combined have sold 2.3 million copies to date.",66.0,1.0
