,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT",$35.98,n/a,4.5 out of 5,6.0,6.0,"Cam v3 is the 3rd generation of Wyze’s flagship camera, Wyze Cam. Like its predecessor Wyze Cam v3 lets you see and record 1080p video right from the Wyze mobile app. New to Wyze Cam v3 is its waterproof design allowing for outdoor installation with an IP65 rating. Wyze Cam v3 also takes advantage of an all-new Starlight Sensor which allows for extreme low-light performance and shows great detail in the dark. With Wyze Cam v3's color night viewing, night time video recording appears as if it’s day time.",88.0,2.0
1,"Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT",$35.98,n/a,4.5 out of 5,6.0,6.0,"Cam v3 is the 3rd generation of Wyze’s flagship camera, Wyze Cam. Like its predecessor Wyze Cam v3 lets you see and record 1080p video right from the Wyze mobile app. New to Wyze Cam v3 is its waterproof design allowing for outdoor installation with an IP65 rating. Wyze Cam v3 also takes advantage of an all-new Starlight Sensor which allows for extreme low-light performance and shows great detail in the dark. With Wyze Cam v3's color night viewing, night time video recording appears as if it’s day time.",88.0,2.0
2,,,,,,,,,
3,"Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT",$35.98,n/a,4.5 out of 5,6.0,6.0,"Cam v3 is the 3rd generation of Wyze’s flagship camera, Wyze Cam. Like its predecessor Wyze Cam v3 lets you see and record 1080p video right from the Wyze mobile app. New to Wyze Cam v3 is its waterproof design allowing for outdoor installation with an IP65 rating. Wyze Cam v3 also takes advantage of an all-new Starlight Sensor which allows for extreme low-light performance and shows great detail in the dark. With Wyze Cam v3's color night viewing, night time video recording appears as if it’s day time.",88.0,2.0
4,"Kasa Indoor Pan/Tilt Smart Security Camera, 1080p HD Dog Camera 2.4GHz with Night Vision, Motion Detection for Baby and Pet Monitor, Cloud & SD Card Storage, Works with Alexa & Google Home (EC70)",$34.99,n/a,4.4 out of 5,6.0,6.0,"Get the full picture of any space in your apartment, dorm or home with the Kasa Spot Pan Tilt. Receive instant alerts and live stream 1080p HD video to your smartphone, Alexa or Google Assistant supported display. The Spot even provides HD video up to 30 ft. with Night Vision. EC70 continuously records and stores footage on a local MicroSD card up to 64 GB (MicroSD card not included). Premium cloud storage options are available.",74.0,1.0
5,"Kasa Indoor Pan/Tilt Smart Security Camera, 1080p HD Dog Camera 2.4GHz with Night Vision, Motion Detection for Baby and Pet Monitor, Cloud & SD Card Storage, Works with Alexa & Google Home (EC70)",$34.99,n/a,4.4 out of 5,6.0,6.0,"Get the full picture of any space in your apartment, dorm or home with the Kasa Spot Pan Tilt. Receive instant alerts and live stream 1080p HD video to your smartphone, Alexa or Google Assistant supported display. The Spot even provides HD video up to 30 ft. with Night Vision. EC70 continuously records and stores footage on a local MicroSD card up to 64 GB (MicroSD card not included). Premium cloud storage options are available.",74.0,1.0
6,,,,,,,,,
7,"Kasa Indoor Pan/Tilt Smart Security Camera, 1080p HD Dog Camera 2.4GHz with Night Vision, Motion Detection for Baby and Pet Monitor, Cloud & SD Card Storage, Works with Alexa & Google Home (EC70)",$34.99,n/a,4.4 out of 5,6.0,6.0,"Get the full picture of any space in your apartment, dorm or home with the Kasa Spot Pan Tilt. Receive instant alerts and live stream 1080p HD video to your smartphone, Alexa or Google Assistant supported display. The Spot even provides HD video up to 30 ft. with Night Vision. EC70 continuously records and stores footage on a local MicroSD card up to 64 GB (MicroSD card not included). Premium cloud storage options are available.",74.0,1.0
8,"occer 12x25 Compact Binoculars with Clear Low Light Vision, Large Eyepiece Waterproof Binocular for Adults Kids,High Power Easy Focus Binoculars for Bird Watching,Outdoor Hunting,Travel,Sightseeing",$28.79,n/a,4.4 out of 5,6.0,6.0,no Description,0.0,0.0
9,"occer 12x25 Compact Binoculars with Clear Low Light Vision, Large Eyepiece Waterproof Binocular for Adults Kids,High Power Easy Focus Binoculars for Bird Watching,Outdoor Hunting,Travel,Sightseeing",$28.79,n/a,4.4 out of 5,6.0,6.0,no Description,0.0,0.0
