,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Donald Trump Gold Coin, Gold Plated Collectable Coin and Case Included, 45th President, Certificate of Authenticity Official",$9.95,n/a,4.7 out of 5,7.0,0.0,The official 2017 trump coin of gopbox. Limited edition.,8.0,0.0
1,"Donald Trump Gold Coin, Gold Plated Collectable Coin and Case Included, 45th President, Certificate of Authenticity Official",$9.95,n/a,4.7 out of 5,7.0,0.0,The official 2017 trump coin of gopbox. Limited edition.,8.0,0.0
2,,,,,,,,,
3,"Donald Trump Gold Coin, Gold Plated Collectable Coin and Case Included, 45th President, Certificate of Authenticity Official",$9.95,n/a,4.7 out of 5,7.0,0.0,The official 2017 trump coin of gopbox. Limited edition.,8.0,0.0
4,The Penny Journal by Pennybandz Holds 146 Coins The Ultimate Souvenir Penny Collecting Book for Your Coin Collection Holds 128 Pressed Pennies and 18 Pressed Quarters or Nickels (Hot Pink),$21.97,n/a,4.8 out of 5,6.0,1.0,"Welcome to Pennybandz…the fun, new and exciting way to turn your family trip or adventure into something memorable. IT'S ALWAYS A GOOD DAY FOR AN ADVENTURE AND PRESSING PENNIES! Your Collection of pressed pennies from your family adventures now have a perfect Penny Book Journal to keep them safe and organized! - just insert in your pressed pennies and Press On!",60.0,2.0
5,The Penny Journal by Pennybandz Holds 146 Coins The Ultimate Souvenir Penny Collecting Book for Your Coin Collection Holds 128 Pressed Pennies and 18 Pressed Quarters or Nickels (Hot Pink),$21.97,n/a,4.8 out of 5,6.0,1.0,"Welcome to Pennybandz…the fun, new and exciting way to turn your family trip or adventure into something memorable. IT'S ALWAYS A GOOD DAY FOR AN ADVENTURE AND PRESSING PENNIES! Your Collection of pressed pennies from your family adventures now have a perfect Penny Book Journal to keep them safe and organized! - just insert in your pressed pennies and Press On!",60.0,2.0
6,,,,,,,,,
7,The Penny Journal by Pennybandz Holds 146 Coins The Ultimate Souvenir Penny Collecting Book for Your Coin Collection Holds 128 Pressed Pennies and 18 Pressed Quarters or Nickels (Hot Pink),$21.97,n/a,4.8 out of 5,6.0,1.0,"Welcome to Pennybandz…the fun, new and exciting way to turn your family trip or adventure into something memorable. IT'S ALWAYS A GOOD DAY FOR AN ADVENTURE AND PRESSING PENNIES! Your Collection of pressed pennies from your family adventures now have a perfect Penny Book Journal to keep them safe and organized! - just insert in your pressed pennies and Press On!",60.0,2.0
8,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.29,n/a,4.8 out of 5,7.0,0.0,"monedas, coleccion, mason, lucifer, edc, worry, fidget, memento, mori, hobo, dnd, tibetan, weighted, prop, afghanistan, marshal, raven, psalm,",17.0,0.0
9,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.29,n/a,4.8 out of 5,7.0,0.0,"monedas, coleccion, mason, lucifer, edc, worry, fidget, memento, mori, hobo, dnd, tibetan, weighted, prop, afghanistan, marshal, raven, psalm,",17.0,0.0
10,,,,,,,,,
11,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.29,n/a,4.8 out of 5,7.0,0.0,"monedas, coleccion, mason, lucifer, edc, worry, fidget, memento, mori, hobo, dnd, tibetan, weighted, prop, afghanistan, marshal, raven, psalm,",17.0,0.0
12,1925 Antique US Liberty Half-Dollar Coin - Great Stone Mountain Commemorative Coins - USA Uncirculated Morgan Dollars-Discover History of US Coins,$3.99,n/a,4.3 out of 5,5.0,0.0,"Dear, this old Coin is made of Brass; the old Coin is plated with 925 sterling silver. This product is handmade crafts. It is not a tradable coin, but it is worth your permanent collection.",34.0,0.0
13,1925 Antique US Liberty Half-Dollar Coin - Great Stone Mountain Commemorative Coins - USA Uncirculated Morgan Dollars-Discover History of US Coins,$3.99,n/a,4.3 out of 5,5.0,0.0,"Dear, this old Coin is made of Brass; the old Coin is plated with 925 sterling silver. This product is handmade crafts. It is not a tradable coin, but it is worth your permanent collection.",34.0,0.0
14,,,,,,,,,
15,1925 Antique US Liberty Half-Dollar Coin - Great Stone Mountain Commemorative Coins - USA Uncirculated Morgan Dollars-Discover History of US Coins,$3.99,n/a,4.3 out of 5,5.0,0.0,"Dear, this old Coin is made of Brass; the old Coin is plated with 925 sterling silver. This product is handmade crafts. It is not a tradable coin, but it is worth your permanent collection.",34.0,0.0
16,2022 American Silver Eagle .999 Fine Silver with Our Certificate of Authenticity Dollar Uncirculated US Mint,$42.99,n/a,4.8 out of 5,2.0,0.0,"2022 U.S. Silver Eagle with our Certificate of Authenticity Gem Brilliant Uncirculated 2022 American Silver Eagle Shipped to you in a 2x2"" coin holder or flip. Now with Certificate of Authenticity! The reverse side of 2022 1 oz Silver Eagles offers the second issue of the new soaring bald eagle. In this visual, Emily Damstra has captured the bald eagle in the midst of one of its natural activities. Soaring in flight with its wings flexed, the bald eagle clutches a large oak branch in its talons that it no doubt intends to use in the construction of its nest. The obverse (heads) features a refreshed depiction of Adolph A. Weinman's full-length figure of Liberty in full stride, enveloped in folds of the flag, with her right hand extended and branches of laurel and oak in her left. In 2021, the United States Mint returned to its original historical assets to render a closer reflection of Weinman’s original vision that includes the addition of his traditional artist mark that continues to this day. Images are temporary stock photos and will be updated when more images are released from the US Mint.",190.0,1.0
17,2022 American Silver Eagle .999 Fine Silver with Our Certificate of Authenticity Dollar Uncirculated US Mint,$42.99,n/a,4.8 out of 5,2.0,0.0,"2022 U.S. Silver Eagle with our Certificate of Authenticity Gem Brilliant Uncirculated 2022 American Silver Eagle Shipped to you in a 2x2"" coin holder or flip. Now with Certificate of Authenticity! The reverse side of 2022 1 oz Silver Eagles offers the second issue of the new soaring bald eagle. In this visual, Emily Damstra has captured the bald eagle in the midst of one of its natural activities. Soaring in flight with its wings flexed, the bald eagle clutches a large oak branch in its talons that it no doubt intends to use in the construction of its nest. The obverse (heads) features a refreshed depiction of Adolph A. Weinman's full-length figure of Liberty in full stride, enveloped in folds of the flag, with her right hand extended and branches of laurel and oak in her left. In 2021, the United States Mint returned to its original historical assets to render a closer reflection of Weinman’s original vision that includes the addition of his traditional artist mark that continues to this day. Images are temporary stock photos and will be updated when more images are released from the US Mint.",190.0,1.0
18,,,,,,,,,
