,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,Apple AirTag,$27.50,n/a,4.7 out of 5,6.0,1.0,no Description,0.0,0.0
1,Apple AirTag,$27.50,n/a,4.7 out of 5,6.0,1.0,no Description,0.0,0.0
2,,,,,,,,,
3,Apple AirTag,$27.50,n/a,4.7 out of 5,6.0,1.0,no Description,0.0,0.0
4,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$39.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
5,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$39.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
6,,,,,,,,,
7,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$39.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
8,Apple AirTag 4 Pack,$99.00,n/a,4.7 out of 5,6.0,1.0,no Description,0.0,0.0
9,Apple AirTag 4 Pack,$99.00,n/a,4.7 out of 5,6.0,1.0,no Description,0.0,0.0
10,,,,,,,,,
11,Apple AirTag 4 Pack,$99.00,n/a,4.7 out of 5,6.0,1.0,no Description,0.0,0.0
12,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",$39.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
13,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",$39.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
14,,,,,,,,,
15,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",$39.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
16,Apple Lightning to 3.5 mm Headphone Jack Adapter,$7.99,n/a,4.7 out of 5,2.0,0.0,no Description,0.0,0.0
17,Apple Lightning to 3.5 mm Headphone Jack Adapter,$7.99,n/a,4.7 out of 5,2.0,0.0,no Description,0.0,0.0
18,,,,,,,,,
19,Apple Lightning to 3.5 mm Headphone Jack Adapter,$7.99,n/a,4.7 out of 5,2.0,0.0,no Description,0.0,0.0
20,Roku Streaming Stick 4K 2021 | Streaming Device 4K/HDR/Dolby Vision with Roku Voice Remote and TV Controls,$39.00,n/a,4.7 out of 5,6.0,6.0,"Roku® Streaming Stick® 4K is faster and more powerful than ever. The redesigned long-range Wi-Fi® receiver is super-charged with up to 2x the speed—exactly what you need for smooth streaming in spectacular 4K, Dolby Vision®, and HDR10+ picture. The all-new design plugs right into your TV with a simple setup. It’s perfect for wall-mounted TVs and keeping wires out of sight. Stunningly sharp 4K picture brings out the rich detail in your entertainment with 4x the resolution of HD. Watch in awe as colors come to life with spectacular Dolby Vision® picture. Start streaming channels including Disney+, Prime Video, HBO Max, Apple TV+, Netflix, Sling, Freevee and Hulu in a snap with a super-fast startup, and enjoy smooth TV streaming in rooms further from your router with the long-range Wi-Fi® receiver, now up to 2x faster. Power up your TV, adjust the volume, and control your Roku device with one remote. Easily search across thousands of channels with your voice and control your TV, streaming, and sound—all with the included Roku voice remote. Upgrade your streaming with a massive selection of free, live, and premium TV, including Roku® Originals only on The Roku Channel. The customizable home screen puts your favorites front and center, so you can spend your time streaming—not scrolling. Setup is simple with everything you need in the box. This Roku® Streaming Stick® 4K also works with popular voice assistants. Ask your Alexa or Google Assistant-enabled device to launch channels, search for entertainment, control your streaming, and more. You can also control your TV using the Apple Home app or Siri on your Apple devices plus share videos, photos, and music from your Apple device using AirPlay.",279.0,3.0
21,Roku Streaming Stick 4K 2021 | Streaming Device 4K/HDR/Dolby Vision with Roku Voice Remote and TV Controls,$39.00,n/a,4.7 out of 5,6.0,6.0,"Roku® Streaming Stick® 4K is faster and more powerful than ever. The redesigned long-range Wi-Fi® receiver is super-charged with up to 2x the speed—exactly what you need for smooth streaming in spectacular 4K, Dolby Vision®, and HDR10+ picture. The all-new design plugs right into your TV with a simple setup. It’s perfect for wall-mounted TVs and keeping wires out of sight. Stunningly sharp 4K picture brings out the rich detail in your entertainment with 4x the resolution of HD. Watch in awe as colors come to life with spectacular Dolby Vision® picture. Start streaming channels including Disney+, Prime Video, HBO Max, Apple TV+, Netflix, Sling, Freevee and Hulu in a snap with a super-fast startup, and enjoy smooth TV streaming in rooms further from your router with the long-range Wi-Fi® receiver, now up to 2x faster. Power up your TV, adjust the volume, and control your Roku device with one remote. Easily search across thousands of channels with your voice and control your TV, streaming, and sound—all with the included Roku voice remote. Upgrade your streaming with a massive selection of free, live, and premium TV, including Roku® Originals only on The Roku Channel. The customizable home screen puts your favorites front and center, so you can spend your time streaming—not scrolling. Setup is simple with everything you need in the box. This Roku® Streaming Stick® 4K also works with popular voice assistants. Ask your Alexa or Google Assistant-enabled device to launch channels, search for entertainment, control your streaming, and more. You can also control your TV using the Apple Home app or Siri on your Apple devices plus share videos, photos, and music from your Apple device using AirPlay.",279.0,3.0
22,,,,,,,,,
23,Roku Streaming Stick 4K 2021 | Streaming Device 4K/HDR/Dolby Vision with Roku Voice Remote and TV Controls,$39.00,n/a,4.7 out of 5,6.0,6.0,"Roku® Streaming Stick® 4K is faster and more powerful than ever. The redesigned long-range Wi-Fi® receiver is super-charged with up to 2x the speed—exactly what you need for smooth streaming in spectacular 4K, Dolby Vision®, and HDR10+ picture. The all-new design plugs right into your TV with a simple setup. It’s perfect for wall-mounted TVs and keeping wires out of sight. Stunningly sharp 4K picture brings out the rich detail in your entertainment with 4x the resolution of HD. Watch in awe as colors come to life with spectacular Dolby Vision® picture. Start streaming channels including Disney+, Prime Video, HBO Max, Apple TV+, Netflix, Sling, Freevee and Hulu in a snap with a super-fast startup, and enjoy smooth TV streaming in rooms further from your router with the long-range Wi-Fi® receiver, now up to 2x faster. Power up your TV, adjust the volume, and control your Roku device with one remote. Easily search across thousands of channels with your voice and control your TV, streaming, and sound—all with the included Roku voice remote. Upgrade your streaming with a massive selection of free, live, and premium TV, including Roku® Originals only on The Roku Channel. The customizable home screen puts your favorites front and center, so you can spend your time streaming—not scrolling. Setup is simple with everything you need in the box. This Roku® Streaming Stick® 4K also works with popular voice assistants. Ask your Alexa or Google Assistant-enabled device to launch channels, search for entertainment, control your streaming, and more. You can also control your TV using the Apple Home app or Siri on your Apple devices plus share videos, photos, and music from your Apple device using AirPlay.",279.0,3.0
24,"Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",$54.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
25,"Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",$54.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
26,,,,,,,,,
27,"Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",$54.99,n/a,4.7 out of 5,7.0,0.0,no Description,0.0,0.0
28,"2021 Apple 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray",$299.00,n/a,4.8 out of 5,6.0,1.0,no Description,0.0,0.0
29,"2021 Apple 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray",$299.00,n/a,4.8 out of 5,6.0,1.0,no Description,0.0,0.0
30,,,,,,,,,
31,"2021 Apple 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray",$299.00,n/a,4.8 out of 5,6.0,1.0,no Description,0.0,0.0
32,"Blink Video Doorbell (Black) + Mini Camera (Black) with Sync Module 2 | Two-Way Audio, HD Video, Motion and Chime Alerts | Alexa Enabled",$119.97,n/a,4.3 out of 5,5.0,0.0,no Description,0.0,0.0
33,"Blink Video Doorbell (Black) + Mini Camera (Black) with Sync Module 2 | Two-Way Audio, HD Video, Motion and Chime Alerts | Alexa Enabled",$119.97,n/a,4.3 out of 5,5.0,0.0,no Description,0.0,0.0
34,,,,,,,,,
35,"Blink Video Doorbell (Black) + Mini Camera (Black) with Sync Module 2 | Two-Way Audio, HD Video, Motion and Chime Alerts | Alexa Enabled",$119.97,n/a,4.3 out of 5,5.0,0.0,no Description,0.0,0.0
36,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",$39.99,n/a,4.7 out of 5,6.0,0.0,no Description,0.0,0.0
37,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",$39.99,n/a,4.7 out of 5,6.0,0.0,no Description,0.0,0.0
38,,,,,,,,,
39,"Echo Dot (3rd Gen, 2018 release) - Music, audiobooks, and voice shopping hands-free with Prime + Alexa - Charcoal",$39.99,n/a,4.7 out of 5,6.0,0.0,no Description,0.0,0.0
40,"Power Strip Surge Protector with 6 FT, POWRUI Flat Plug Extension Cord with 6 Outlet Extender and 3 USB Ports, 6 Feet Power Cord, ETL Listed (White/Grey)",$14.49,n/a,4.8 out of 5,7.0,0.0,no Description,0.0,0.0
41,"Power Strip Surge Protector with 6 FT, POWRUI Flat Plug Extension Cord with 6 Outlet Extender and 3 USB Ports, 6 Feet Power Cord, ETL Listed (White/Grey)",$14.49,n/a,4.8 out of 5,7.0,0.0,no Description,0.0,0.0
42,,,,,,,,,
43,"Power Strip Surge Protector with 6 FT, POWRUI Flat Plug Extension Cord with 6 Outlet Extender and 3 USB Ports, 6 Feet Power Cord, ETL Listed (White/Grey)",$14.49,n/a,4.8 out of 5,7.0,0.0,no Description,0.0,0.0
44,Roku Express | HD Streaming Media Player with High Speed HDMI Cable and Simple Remote,$24.99,n/a,4.7 out of 5,6.0,6.0,"Roku Express delivers a smooth HD streaming experience on your TV at our best price. It’s easy to get started—just plug it into your TV with the included High Speed HDMI Cable and connect to the internet. With a short step by step setup and an easy on screen experience, Roku Express is perfect for new users, but powerful enough for seasoned pros. Start streaming a massive selection of free, live, and premium TV, including Roku® Originals only on The Roku Channel. The customizable home screen puts your favorite channels like Disney+, Prime Video, HBO Max, Apple TV+, Netflix, Sling, Freebee and Hulu front and center, so you can spend your time streaming—not scrolling. Use the free Roku mobile app as a convenient second remote and enjoy voice search, private listening with wireless headphones, and more. This Roku Express also works with popular voice assistants. Ask your Alexa or Google Assistant-enabled device to launch channels, search for entertainment, control your streaming, and more. You can also control your TV using the Apple Home app or Siri on your Apple devices plus share videos, photos, and music from your Apple device using AirPlay.",191.0,2.0
45,Roku Express | HD Streaming Media Player with High Speed HDMI Cable and Simple Remote,$24.99,n/a,4.7 out of 5,6.0,6.0,"Roku Express delivers a smooth HD streaming experience on your TV at our best price. It’s easy to get started—just plug it into your TV with the included High Speed HDMI Cable and connect to the internet. With a short step by step setup and an easy on screen experience, Roku Express is perfect for new users, but powerful enough for seasoned pros. Start streaming a massive selection of free, live, and premium TV, including Roku® Originals only on The Roku Channel. The customizable home screen puts your favorite channels like Disney+, Prime Video, HBO Max, Apple TV+, Netflix, Sling, Freebee and Hulu front and center, so you can spend your time streaming—not scrolling. Use the free Roku mobile app as a convenient second remote and enjoy voice search, private listening with wireless headphones, and more. This Roku Express also works with popular voice assistants. Ask your Alexa or Google Assistant-enabled device to launch channels, search for entertainment, control your streaming, and more. You can also control your TV using the Apple Home app or Siri on your Apple devices plus share videos, photos, and music from your Apple device using AirPlay.",191.0,2.0
46,,,,,,,,,
47,Roku Express | HD Streaming Media Player with High Speed HDMI Cable and Simple Remote,$24.99,n/a,4.7 out of 5,6.0,6.0,"Roku Express delivers a smooth HD streaming experience on your TV at our best price. It’s easy to get started—just plug it into your TV with the included High Speed HDMI Cable and connect to the internet. With a short step by step setup and an easy on screen experience, Roku Express is perfect for new users, but powerful enough for seasoned pros. Start streaming a massive selection of free, live, and premium TV, including Roku® Originals only on The Roku Channel. The customizable home screen puts your favorite channels like Disney+, Prime Video, HBO Max, Apple TV+, Netflix, Sling, Freebee and Hulu front and center, so you can spend your time streaming—not scrolling. Use the free Roku mobile app as a convenient second remote and enjoy voice search, private listening with wireless headphones, and more. This Roku Express also works with popular voice assistants. Ask your Alexa or Google Assistant-enabled device to launch channels, search for entertainment, control your streaming, and more. You can also control your TV using the Apple Home app or Siri on your Apple devices plus share videos, photos, and music from your Apple device using AirPlay.",191.0,2.0
48,"Roku Express 4K+ 2021 | Streaming Media Player HD/4K/HDR with Smooth Wireless Streaming and Roku Voice Remote with TV Controls, Includes Premium HDMI® Cable",$37.22,n/a,4.7 out of 5,6.0,6.0,"Roku Express 4K+ is the easy way to start streaming in brilliant 4K picture and vivid HDR color. Enjoy a smooth streaming experience with faster wireless performance, even with multiple streaming devices connected to your network. Power up your TV, adjust the volume, and control your streaming with the included Roku Voice Remote. Use your voice to quickly search, turn captions on, and more. Best of all, Roku streaming gives you a massive selection of free and live TV, and a customizable home screen with your favorite channels front and center, like Netflix, HBO Max, Disney Plus, Prime Video and Freevee. Setup is a cinch with everything you need in the box, including a Premium High Speed HDMI® Cable. Roku Express 4K+ also works with popular voice assistants. Ask Alexa or Hey Google to launch channels, search for entertainment, control your streaming, and more. You can also control your TV using the Apple Home app or Siri on your Apple devices.",160.0,1.0
49,"Roku Express 4K+ 2021 | Streaming Media Player HD/4K/HDR with Smooth Wireless Streaming and Roku Voice Remote with TV Controls, Includes Premium HDMI® Cable",$37.22,n/a,4.7 out of 5,6.0,6.0,"Roku Express 4K+ is the easy way to start streaming in brilliant 4K picture and vivid HDR color. Enjoy a smooth streaming experience with faster wireless performance, even with multiple streaming devices connected to your network. Power up your TV, adjust the volume, and control your streaming with the included Roku Voice Remote. Use your voice to quickly search, turn captions on, and more. Best of all, Roku streaming gives you a massive selection of free and live TV, and a customizable home screen with your favorite channels front and center, like Netflix, HBO Max, Disney Plus, Prime Video and Freevee. Setup is a cinch with everything you need in the box, including a Premium High Speed HDMI® Cable. Roku Express 4K+ also works with popular voice assistants. Ask Alexa or Hey Google to launch channels, search for entertainment, control your streaming, and more. You can also control your TV using the Apple Home app or Siri on your Apple devices.",160.0,1.0
50,,,,,,,,,
51,"Roku Express 4K+ 2021 | Streaming Media Player HD/4K/HDR with Smooth Wireless Streaming and Roku Voice Remote with TV Controls, Includes Premium HDMI® Cable",$37.22,n/a,4.7 out of 5,6.0,6.0,"Roku Express 4K+ is the easy way to start streaming in brilliant 4K picture and vivid HDR color. Enjoy a smooth streaming experience with faster wireless performance, even with multiple streaming devices connected to your network. Power up your TV, adjust the volume, and control your streaming with the included Roku Voice Remote. Use your voice to quickly search, turn captions on, and more. Best of all, Roku streaming gives you a massive selection of free and live TV, and a customizable home screen with your favorite channels front and center, like Netflix, HBO Max, Disney Plus, Prime Video and Freevee. Setup is a cinch with everything you need in the box, including a Premium High Speed HDMI® Cable. Roku Express 4K+ also works with popular voice assistants. Ask Alexa or Hey Google to launch channels, search for entertainment, control your streaming, and more. You can also control your TV using the Apple Home app or Siri on your Apple devices.",160.0,1.0
52,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",$139.99,n/a,4.7 out of 5,6.0,6.0,no Description,0.0,0.0
53,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",$139.99,n/a,4.7 out of 5,6.0,6.0,no Description,0.0,0.0
54,,,,,,,,,
55,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",$139.99,n/a,4.7 out of 5,6.0,6.0,no Description,0.0,0.0
56,Fujifilm Instax Mini Instant Film Twin Pack (White),$13.42,n/a,4.8 out of 5,6.0,6.0,"Fujifilm Instant Color Film is an ISO 800 wide picture format integral daylight color film designed for use with Fujifilm Instax mini-series cameras. This glossy film yields superb results under both daylight and electronic flash conditions. Its improved picture quality and greater ease of use make it ideal for snapshots and portraits. Furthermore, its easy-to-file size makes it an excellent choice for documentary or archival purposes, as well as a wide variety of other applications.",74.0,2.0
57,Fujifilm Instax Mini Instant Film Twin Pack (White),$13.42,n/a,4.8 out of 5,6.0,6.0,"Fujifilm Instant Color Film is an ISO 800 wide picture format integral daylight color film designed for use with Fujifilm Instax mini-series cameras. This glossy film yields superb results under both daylight and electronic flash conditions. Its improved picture quality and greater ease of use make it ideal for snapshots and portraits. Furthermore, its easy-to-file size makes it an excellent choice for documentary or archival purposes, as well as a wide variety of other applications.",74.0,2.0
58,,,,,,,,,
59,Fujifilm Instax Mini Instant Film Twin Pack (White),$13.42,n/a,4.8 out of 5,6.0,6.0,"Fujifilm Instant Color Film is an ISO 800 wide picture format integral daylight color film designed for use with Fujifilm Instax mini-series cameras. This glossy film yields superb results under both daylight and electronic flash conditions. Its improved picture quality and greater ease of use make it ideal for snapshots and portraits. Furthermore, its easy-to-file size makes it an excellent choice for documentary or archival purposes, as well as a wide variety of other applications.",74.0,2.0
60,RC280 Replacement Remote Applicable for TCL Roku TV with Netflix Sling Hulu Vudu Key 55UP120 32S4610R 50FS3750 32FS3700 32FS4610R 32S800 32S850 32S3850 48FS3700 55FS3700 65S405 43S405 49S405 40S3800,$6.97,n/a,4.5 out of 5,7.0,0.0,"RC280 Replacement Remote Control Applicable for TCL Roku TV with Netflix Sling Hulu Vudu APP Key

No programming or paring needed.Just install new ALKALINE batteries to get it work! This remote DOES NOT WORK WITH any roku player, roku box or roku stick.

Compatible with below TCL TV models:
49S405 55S405 40S3800 55US57 50UP120 28S3750 32S3750 40FS3750 48FS3750
55FS4610R 55US5800 65US5800 55FS3750 32S3700 32S3800 48FS3700 55FS3700
32S3850(A/B/P) 32S3850A 32S3850B 32S3850P 40FS3850 50FS3850 28S305 55FS3850
40FS3800 50FS3800 40FS4610R 48FS4610R 43FP110 49FP110 55UP120 32S4610R
50FS3750 32FS3700 32FS4610R 32S800 32S850 32S3850 32S305 40S305 43S305
49S305 65S405 43S405 65S455 50S455 43S455 55S455 75S455 RC280 JNIL

Power Supply: 2X 1.5V AAA Alkaline Battey

Package Content:
1X Remote Control(Battery and User Manual Not Included)",106.0,1.0
