,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"CELSIUS Essential Energy Drink 12 Fl Oz, Peach Mango Green Tea (Pack of 4)",$16.99,n/a,4.7 out of 5,5.0,0.0,"CELSIUS. Live Fit. A uniquely blended formula with healthy energy and key vitamins make CELSIUS an ideal pre-workout drink as well as a refreshing alternative to coffee and other caffeinated beverages. It’s low in sodium and contains zero sugar, no aspartame, and no artificial flavors, colors, or preservatives. CELSIUS energy drinks are also Certified Vegan, Kosher, and non-GMO. Its proprietary formula contains green tea extract and EGCG. It also includes guarana seed extract, ginger root for flavor and digestion, vitamin C to support your immune system, vitamin B for energy production, and chromium to help control hunger. Boost your energy while enjoying the refreshing flavors of CELSIUS Peach Mango Green Tea Non-Carbonated Fitness Drink! It has the perfect balance of flavor and energy that serves as an awesome pick-me-up for active lifestyles. CELSIUS is available in 12 oz. slim cans and sold in convenient packs of 4.",146.0,0.0
1,"CELSIUS Essential Energy Drink 12 Fl Oz, Peach Mango Green Tea (Pack of 4)",$16.99,n/a,4.7 out of 5,5.0,0.0,"CELSIUS. Live Fit. A uniquely blended formula with healthy energy and key vitamins make CELSIUS an ideal pre-workout drink as well as a refreshing alternative to coffee and other caffeinated beverages. It’s low in sodium and contains zero sugar, no aspartame, and no artificial flavors, colors, or preservatives. CELSIUS energy drinks are also Certified Vegan, Kosher, and non-GMO. Its proprietary formula contains green tea extract and EGCG. It also includes guarana seed extract, ginger root for flavor and digestion, vitamin C to support your immune system, vitamin B for energy production, and chromium to help control hunger. Boost your energy while enjoying the refreshing flavors of CELSIUS Peach Mango Green Tea Non-Carbonated Fitness Drink! It has the perfect balance of flavor and energy that serves as an awesome pick-me-up for active lifestyles. CELSIUS is available in 12 oz. slim cans and sold in convenient packs of 4.",146.0,0.0
2,,,,,,,,,
3,"CELSIUS Essential Energy Drink 12 Fl Oz, Peach Mango Green Tea (Pack of 4)",$16.99,n/a,4.7 out of 5,5.0,0.0,"CELSIUS. Live Fit. A uniquely blended formula with healthy energy and key vitamins make CELSIUS an ideal pre-workout drink as well as a refreshing alternative to coffee and other caffeinated beverages. It’s low in sodium and contains zero sugar, no aspartame, and no artificial flavors, colors, or preservatives. CELSIUS energy drinks are also Certified Vegan, Kosher, and non-GMO. Its proprietary formula contains green tea extract and EGCG. It also includes guarana seed extract, ginger root for flavor and digestion, vitamin C to support your immune system, vitamin B for energy production, and chromium to help control hunger. Boost your energy while enjoying the refreshing flavors of CELSIUS Peach Mango Green Tea Non-Carbonated Fitness Drink! It has the perfect balance of flavor and energy that serves as an awesome pick-me-up for active lifestyles. CELSIUS is available in 12 oz. slim cans and sold in convenient packs of 4.",146.0,0.0
4,"Sparkling Ice, Black Cherry Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 fl oz Bottles (Pack of 12)",$11.88,n/a,4.7 out of 5,6.0,6.0,"Product Description
Try your new favorite flavor today. It’s sweet. It’s juicy. It’s Black Cherry. Sparkling Ice Black Cherry is a fizzy, flavorful sparkling water, without all the calories. Sparkling Ice Black Cherry flavored sparkling water contains 0g sugar, only 5 calories per bottle, and 0g carbs. Made with better-for-you ingredients, this low-calorie carbonated water is bursting with real fruit flavor, is made with colors from natural sources, and contains vitamins and antioxidants. Enjoy Sparkling Ice as a mocktail or mix it with your drink of choice for a delicious, low calorie cocktail. The product ships in a pack of 12 bottles. Each sparkling water bottle contains 17 fl oz.
Manufacturer Contact Information
Talking Rain Beverage Company P.O. Box 549 Preston, WA 98050",119.0,1.0
5,"Sparkling Ice, Black Cherry Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 fl oz Bottles (Pack of 12)",$11.88,n/a,4.7 out of 5,6.0,6.0,"Product Description
Try your new favorite flavor today. It’s sweet. It’s juicy. It’s Black Cherry. Sparkling Ice Black Cherry is a fizzy, flavorful sparkling water, without all the calories. Sparkling Ice Black Cherry flavored sparkling water contains 0g sugar, only 5 calories per bottle, and 0g carbs. Made with better-for-you ingredients, this low-calorie carbonated water is bursting with real fruit flavor, is made with colors from natural sources, and contains vitamins and antioxidants. Enjoy Sparkling Ice as a mocktail or mix it with your drink of choice for a delicious, low calorie cocktail. The product ships in a pack of 12 bottles. Each sparkling water bottle contains 17 fl oz.
Manufacturer Contact Information
Talking Rain Beverage Company P.O. Box 549 Preston, WA 98050",119.0,1.0
6,,,,,,,,,
7,"Sparkling Ice, Black Cherry Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 fl oz Bottles (Pack of 12)",$11.88,n/a,4.7 out of 5,6.0,6.0,"Product Description
Try your new favorite flavor today. It’s sweet. It’s juicy. It’s Black Cherry. Sparkling Ice Black Cherry is a fizzy, flavorful sparkling water, without all the calories. Sparkling Ice Black Cherry flavored sparkling water contains 0g sugar, only 5 calories per bottle, and 0g carbs. Made with better-for-you ingredients, this low-calorie carbonated water is bursting with real fruit flavor, is made with colors from natural sources, and contains vitamins and antioxidants. Enjoy Sparkling Ice as a mocktail or mix it with your drink of choice for a delicious, low calorie cocktail. The product ships in a pack of 12 bottles. Each sparkling water bottle contains 17 fl oz.
Manufacturer Contact Information
Talking Rain Beverage Company P.O. Box 549 Preston, WA 98050",119.0,1.0
8,Starbucks K-Cup Coffee Pods—Medium Roast Coffee—Decaf House Blend—100% Arabica—6 boxes (60 pods total),$41.99,n/a,4.8 out of 5,6.0,3.0,"It’s deceptively simple. A blend of fine Latin American beans roasted to a glistening, dark chestnut color. Loaded with flavor, balancing tastes of toffee and cocoa, and just a touch of sweetness from the roast. This coffee is our beginning, the very first blend we ever created for you back in 1971. And this one blend set the course for the way our master blenders and roasters work even today. A true reflection of us and a delicious cup of coffee, period. It all starts from here. Nestlé uses Starbucks trademarks under license.",92.0,0.0
9,Starbucks K-Cup Coffee Pods—Medium Roast Coffee—Decaf House Blend—100% Arabica—6 boxes (60 pods total),$41.99,n/a,4.8 out of 5,6.0,3.0,"It’s deceptively simple. A blend of fine Latin American beans roasted to a glistening, dark chestnut color. Loaded with flavor, balancing tastes of toffee and cocoa, and just a touch of sweetness from the roast. This coffee is our beginning, the very first blend we ever created for you back in 1971. And this one blend set the course for the way our master blenders and roasters work even today. A true reflection of us and a delicious cup of coffee, period. It all starts from here. Nestlé uses Starbucks trademarks under license.",92.0,0.0
