,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Amazon Basics 4 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life",$4.28,n/a,4.7 out of 5,6.0,0.0,"Product Description
Amazon Basics 4 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life Battery
From the Manufacturer
Amazon Basics",15.0,0.0
1,"Amazon Basics 4 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life",$4.28,n/a,4.7 out of 5,6.0,0.0,"Product Description
Amazon Basics 4 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life Battery
From the Manufacturer
Amazon Basics",15.0,0.0
2,,,,,,,,,
3,"Amazon Basics 4 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life",$4.28,n/a,4.7 out of 5,6.0,0.0,"Product Description
Amazon Basics 4 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life Battery
From the Manufacturer
Amazon Basics",15.0,0.0
4,"Amazon Basics 10 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life",$7.36,n/a,4.7 out of 5,6.0,0.0,"Product Description
Amazon Basics 10 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life
From the Manufacturer
Amazon Basics",14.0,0.0
5,"Amazon Basics 10 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life",$7.36,n/a,4.7 out of 5,6.0,0.0,"Product Description
Amazon Basics 10 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life
From the Manufacturer
Amazon Basics",14.0,0.0
6,,,,,,,,,
7,"Amazon Basics 10 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life",$7.36,n/a,4.7 out of 5,6.0,0.0,"Product Description
Amazon Basics 10 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life
From the Manufacturer
Amazon Basics",14.0,0.0
8,"Vital Proteins Collagen Peptides Powder, 13.5 oz, Pack of 1, Promotes Hair, Nail, Skin, Bone and Joint Health, Chocolate",$24.98,n/a,4.6 out of 5,6.0,6.0,no Description,0.0,0.0
9,"Vital Proteins Collagen Peptides Powder, 13.5 oz, Pack of 1, Promotes Hair, Nail, Skin, Bone and Joint Health, Chocolate",$24.98,n/a,4.6 out of 5,6.0,6.0,no Description,0.0,0.0
10,,,,,,,,,
11,"Vital Proteins Collagen Peptides Powder, 13.5 oz, Pack of 1, Promotes Hair, Nail, Skin, Bone and Joint Health, Chocolate",$24.98,n/a,4.6 out of 5,6.0,6.0,no Description,0.0,0.0
12,"Physician's Choice Probiotics 60 Billion CFU - 10 Diverse Strains Plus Organic Prebiotic, Designed for Overall Digestive Health and Supports Occasional Constipation, Diarrhea, Gas & Bloating",$19.97,n/a,4.5 out of 5,6.0,6.0,no Description,0.0,0.0
13,"Physician's Choice Probiotics 60 Billion CFU - 10 Diverse Strains Plus Organic Prebiotic, Designed for Overall Digestive Health and Supports Occasional Constipation, Diarrhea, Gas & Bloating",$19.97,n/a,4.5 out of 5,6.0,6.0,no Description,0.0,0.0
14,,,,,,,,,
15,"Physician's Choice Probiotics 60 Billion CFU - 10 Diverse Strains Plus Organic Prebiotic, Designed for Overall Digestive Health and Supports Occasional Constipation, Diarrhea, Gas & Bloating",$19.97,n/a,4.5 out of 5,6.0,6.0,no Description,0.0,0.0
16,"Affresh Washing Machine Cleaner, Cleans Front Load and Top Load Washers, Including HE, 3 Tablets",$6.99,n/a,4.6 out of 5,6.0,6.0,"Product Description
Affresh® washing machine cleaner deep cleans even where you can’t see to help remove odor-causing residues and build-up that can form in machines over time. Specially formulated to dissolve slowly throughout the entire wash cycle, affresh® washer cleaner is an easy and effective way to clean your washing machine pump and valve, behind the basket and drum, wash tub, agitator or filter, and drain hose. Just drop one tablet in an empty washer and run on a normal hot or Clean Washer cycle for a fresh, clean appliance. Made with U.S. EPA Safer Choice certified ingredients, the time-release tablets are septic safe and can be used with top or front load washing machines, including HE. Use monthly for optimal results.
From the Manufacturer
Affresh Washer Cleaner removes and prevents odor-causing residue that can occur in all brands of HE washers. While bleach only kills odor-causing bacteria leaving behind the detergent residue, Affresh Washer Cleaner uses surfactant chemistry to remove the root problem. Affresh cleaner is a formulated, slow-dissolve, foaming tablet that gets under residue, breaks it up, and washes it away leaving the washer smelling fresh and clean. Simply place one tablet in the wash basket (without clothes) and run a Normal Cycle (hot option) or Clean Washer Cycle. Affresh brand is safe on septic tanks, and safe for all washer components. Package includes three tablets.",224.0,0.0
17,"Affresh Washing Machine Cleaner, Cleans Front Load and Top Load Washers, Including HE, 3 Tablets",$6.99,n/a,4.6 out of 5,6.0,6.0,"Product Description
Affresh® washing machine cleaner deep cleans even where you can’t see to help remove odor-causing residues and build-up that can form in machines over time. Specially formulated to dissolve slowly throughout the entire wash cycle, affresh® washer cleaner is an easy and effective way to clean your washing machine pump and valve, behind the basket and drum, wash tub, agitator or filter, and drain hose. Just drop one tablet in an empty washer and run on a normal hot or Clean Washer cycle for a fresh, clean appliance. Made with U.S. EPA Safer Choice certified ingredients, the time-release tablets are septic safe and can be used with top or front load washing machines, including HE. Use monthly for optimal results.
From the Manufacturer
Affresh Washer Cleaner removes and prevents odor-causing residue that can occur in all brands of HE washers. While bleach only kills odor-causing bacteria leaving behind the detergent residue, Affresh Washer Cleaner uses surfactant chemistry to remove the root problem. Affresh cleaner is a formulated, slow-dissolve, foaming tablet that gets under residue, breaks it up, and washes it away leaving the washer smelling fresh and clean. Simply place one tablet in the wash basket (without clothes) and run a Normal Cycle (hot option) or Clean Washer Cycle. Affresh brand is safe on septic tanks, and safe for all washer components. Package includes three tablets.",224.0,0.0
18,,,,,,,,,
19,"Affresh Washing Machine Cleaner, Cleans Front Load and Top Load Washers, Including HE, 3 Tablets",$6.99,n/a,4.6 out of 5,6.0,6.0,"Product Description
Affresh® washing machine cleaner deep cleans even where you can’t see to help remove odor-causing residues and build-up that can form in machines over time. Specially formulated to dissolve slowly throughout the entire wash cycle, affresh® washer cleaner is an easy and effective way to clean your washing machine pump and valve, behind the basket and drum, wash tub, agitator or filter, and drain hose. Just drop one tablet in an empty washer and run on a normal hot or Clean Washer cycle for a fresh, clean appliance. Made with U.S. EPA Safer Choice certified ingredients, the time-release tablets are septic safe and can be used with top or front load washing machines, including HE. Use monthly for optimal results.
From the Manufacturer
Affresh Washer Cleaner removes and prevents odor-causing residue that can occur in all brands of HE washers. While bleach only kills odor-causing bacteria leaving behind the detergent residue, Affresh Washer Cleaner uses surfactant chemistry to remove the root problem. Affresh cleaner is a formulated, slow-dissolve, foaming tablet that gets under residue, breaks it up, and washes it away leaving the washer smelling fresh and clean. Simply place one tablet in the wash basket (without clothes) and run a Normal Cycle (hot option) or Clean Washer Cycle. Affresh brand is safe on septic tanks, and safe for all washer components. Package includes three tablets.",224.0,0.0
20,"Premier Protein Shake, Bananas & Cream, 30g Protein, 1g Sugar, 24 Vitamins & Minerals, Nutrients to Support Immune Health, 12 Pack, 138.0 Fl Oz",$52.38,n/a,4.6 out of 5,6.0,6.0,"Packaged in a 11.5oz bottle, each Premier Protein Shake contains 30 grams of protein, complete with all the essential amino acids, 1g of sugar, 3-5g carbs (depending on flavor), 160 calories, 24 vitamins & minerals, and is also low in fat. We use a blend of milk protein and casein in our shakes to help fuel muscles quickly and for several hours to help support your goals. Enjoy a shake as a healthy snack, a breakfast on-the-go, an afternoon snack, or as pre- or post-workout fuel. They are delicious as is but are also highly customizable. Try blending with your favorite fruits and vegetables for a delicious smoothie or adding to cereal or oatmeal. Available in 11 delicious flavors: Chocolate, Vanilla, Cafe Latte, Caramel, Cookies & Cream, Strawberries & Cream, Bananas & Cream, Peaches & Cream, Cinnamon Roll, Chocolate Peanut Butter and Cake Batter Delight.",144.0,1.0
