,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Mellanni Extra Deep Pocket Twin XL Sheet Set - Luxury 1800 Bedding Sheets & Pillowcases - Fits College Dorm Room Mattress - Ultra Soft Cooling Bed Sheet Set - Easy Care - 3 PC (Twin XL, Baby Blue)",$44.97,n/a,4.5 out of 5,7.0,0.0,no Description,0.0,0.0
1,"Mellanni Extra Deep Pocket Twin XL Sheet Set - Luxury 1800 Bedding Sheets & Pillowcases - Fits College Dorm Room Mattress - Ultra Soft Cooling Bed Sheet Set - Easy Care - 3 PC (Twin XL, Baby Blue)",$44.97,n/a,4.5 out of 5,7.0,0.0,no Description,0.0,0.0
2,,,,,,,,,
3,"Mellanni Extra Deep Pocket Twin XL Sheet Set - Luxury 1800 Bedding Sheets & Pillowcases - Fits College Dorm Room Mattress - Ultra Soft Cooling Bed Sheet Set - Easy Care - 3 PC (Twin XL, Baby Blue)",$44.97,n/a,4.5 out of 5,7.0,0.0,no Description,0.0,0.0
4,"Beckham Hotel Collection Bed Pillows for Sleeping - Queen Size, Set of 2 - Cooling, Luxury Gel Pillow for Back, Stomach or Side Sleepers",$42.99,n/a,4.4 out of 5,5.0,6.0,no Description,0.0,0.0
5,"Beckham Hotel Collection Bed Pillows for Sleeping - Queen Size, Set of 2 - Cooling, Luxury Gel Pillow for Back, Stomach or Side Sleepers",$42.99,n/a,4.4 out of 5,5.0,6.0,no Description,0.0,0.0
6,,,,,,,,,
7,"Beckham Hotel Collection Bed Pillows for Sleeping - Queen Size, Set of 2 - Cooling, Luxury Gel Pillow for Back, Stomach or Side Sleepers",$42.99,n/a,4.4 out of 5,5.0,6.0,no Description,0.0,0.0
8,"TERRO T300B Liquid Ant Killer, 12 Bait Stations",$11.92,n/a,4.6 out of 5,6.0,6.0,"To kill common household ants, simply place TERRO Liquid Ant Baits stations near indoor areas where ants are spotted. Ants enter the trap, consume the liquid ant bait and return to the nest where they pass on the bait to the rest of the colony. TERRO Liquid Ant Baits are specifically formulated to allow worker ants to consume the product and survive long enough to carry the liquid back to the nest and deliver a dose to the rest of the colony . The liquid ant bait stations prevent the bait from drying out and provide the ants with a continuous supply of liquid, day and night. Monitor the baits regularly for activity, but do not interfere with the ants or baits. Replace with additional baits when the first set is depleted. Depending on the size of the ant infestation, complete control may take up to two weeks.
Recommended Placement : Along baseboards In corners of rooms and cabinets On countertops Under and behind appliances Under sinks or around pipes and water sources On windowsills and around doorways Near garbage cans Along ant trails.",182.0,0.0
9,"TERRO T300B Liquid Ant Killer, 12 Bait Stations",$11.92,n/a,4.6 out of 5,6.0,6.0,"To kill common household ants, simply place TERRO Liquid Ant Baits stations near indoor areas where ants are spotted. Ants enter the trap, consume the liquid ant bait and return to the nest where they pass on the bait to the rest of the colony. TERRO Liquid Ant Baits are specifically formulated to allow worker ants to consume the product and survive long enough to carry the liquid back to the nest and deliver a dose to the rest of the colony . The liquid ant bait stations prevent the bait from drying out and provide the ants with a continuous supply of liquid, day and night. Monitor the baits regularly for activity, but do not interfere with the ants or baits. Replace with additional baits when the first set is depleted. Depending on the size of the ant infestation, complete control may take up to two weeks.
Recommended Placement : Along baseboards In corners of rooms and cabinets On countertops Under and behind appliances Under sinks or around pipes and water sources On windowsills and around doorways Near garbage cans Along ant trails.",182.0,0.0
