,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,n/a,4.5 out of 5,6.0,6.0,no Description,0.0,0.0
1,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,n/a,4.5 out of 5,6.0,6.0,no Description,0.0,0.0
2,,,,,,,,,
3,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,n/a,4.5 out of 5,6.0,6.0,no Description,0.0,0.0
4,"iHealth COVID-19 Antigen Rapid Test, 5 Tests per Pack,FDA EUA Authorized OTC at-Home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$44.95,n/a,4.1 out of 5,6.0,2.0,"The iHealth COVID-19 Antigen Rapid Test is a 15-minute self-test to detect COVID-19 infection in the comfort of your own home without the need to ship your sample to a lab. The test can be done by inserting 1/2 to 3/4 inch of a simple non-invasive nasal swab. The test is easy to use with minimal discomfort. The iHealth Test app is optional but contains video instructions to guide users through the testing process. An iHealth Pass can be generated based on the test results for screening purposes. The app also allows the administrator of a small group to monitor and track the group members’ test results as needed at school, work, or events. The test has received FDA Emergency Use Authorization for self-testing without a prescription from your healthcare provider. It is suitable for adults and children over 2 years, with or without symptoms. The test is intended to be used twice over two to three days, with at least 24 hours and no more than 36 hours between tests.",170.0,1.0
5,"iHealth COVID-19 Antigen Rapid Test, 5 Tests per Pack,FDA EUA Authorized OTC at-Home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$44.95,n/a,4.1 out of 5,6.0,2.0,"The iHealth COVID-19 Antigen Rapid Test is a 15-minute self-test to detect COVID-19 infection in the comfort of your own home without the need to ship your sample to a lab. The test can be done by inserting 1/2 to 3/4 inch of a simple non-invasive nasal swab. The test is easy to use with minimal discomfort. The iHealth Test app is optional but contains video instructions to guide users through the testing process. An iHealth Pass can be generated based on the test results for screening purposes. The app also allows the administrator of a small group to monitor and track the group members’ test results as needed at school, work, or events. The test has received FDA Emergency Use Authorization for self-testing without a prescription from your healthcare provider. It is suitable for adults and children over 2 years, with or without symptoms. The test is intended to be used twice over two to three days, with at least 24 hours and no more than 36 hours between tests.",170.0,1.0
6,,,,,,,,,
7,"iHealth COVID-19 Antigen Rapid Test, 5 Tests per Pack,FDA EUA Authorized OTC at-Home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$44.95,n/a,4.1 out of 5,6.0,2.0,"The iHealth COVID-19 Antigen Rapid Test is a 15-minute self-test to detect COVID-19 infection in the comfort of your own home without the need to ship your sample to a lab. The test can be done by inserting 1/2 to 3/4 inch of a simple non-invasive nasal swab. The test is easy to use with minimal discomfort. The iHealth Test app is optional but contains video instructions to guide users through the testing process. An iHealth Pass can be generated based on the test results for screening purposes. The app also allows the administrator of a small group to monitor and track the group members’ test results as needed at school, work, or events. The test has received FDA Emergency Use Authorization for self-testing without a prescription from your healthcare provider. It is suitable for adults and children over 2 years, with or without symptoms. The test is intended to be used twice over two to three days, with at least 24 hours and no more than 36 hours between tests.",170.0,1.0
8,"LEVENIS KN95 Face Masks 50 Pack, Breathable Comfortable and Disposable KN95 Mask, Black",$19.99,n/a,4.4 out of 5,6.0,2.0,no Description,0.0,0.0
9,"LEVENIS KN95 Face Masks 50 Pack, Breathable Comfortable and Disposable KN95 Mask, Black",$19.99,n/a,4.4 out of 5,6.0,2.0,no Description,0.0,0.0
10,,,,,,,,,
11,"LEVENIS KN95 Face Masks 50 Pack, Breathable Comfortable and Disposable KN95 Mask, Black",$19.99,n/a,4.4 out of 5,6.0,2.0,no Description,0.0,0.0
12,"Celltrion DiaTrust COVID-19 Ag Home Test, 2 Tests Per Pack, FDA EUA Authorized Multiple Target OTC Test, Result in 15 Minutes Without Sending to a Lab",$14.95,n/a,4.4 out of 5,5.0,3.0,Celltrion: the brand is innovative and keeps customer needs and satisfaction in mind. The range and variety of the products are briiliant.,21.0,0.0
13,"Celltrion DiaTrust COVID-19 Ag Home Test, 2 Tests Per Pack, FDA EUA Authorized Multiple Target OTC Test, Result in 15 Minutes Without Sending to a Lab",$14.95,n/a,4.4 out of 5,5.0,3.0,Celltrion: the brand is innovative and keeps customer needs and satisfaction in mind. The range and variety of the products are briiliant.,21.0,0.0
14,,,,,,,,,
15,"Celltrion DiaTrust COVID-19 Ag Home Test, 2 Tests Per Pack, FDA EUA Authorized Multiple Target OTC Test, Result in 15 Minutes Without Sending to a Lab",$14.95,n/a,4.4 out of 5,5.0,3.0,Celltrion: the brand is innovative and keeps customer needs and satisfaction in mind. The range and variety of the products are briiliant.,21.0,0.0
16,Ultra Soft Cushiony Touch Toilet Paper Family Mega Rolls,$34.54,n/a,4.8 out of 5,2.0,0.0,no description,0.0,0.0
17,Ultra Soft Cushiony Touch Toilet Paper Family Mega Rolls,$34.54,n/a,4.8 out of 5,2.0,0.0,no description,0.0,0.0
18,,,,,,,,,
19,Ultra Soft Cushiony Touch Toilet Paper Family Mega Rolls,$34.54,n/a,4.8 out of 5,2.0,0.0,no description,0.0,0.0
20,Face Mask 100PCS Adult Black Disposable Masks 3-Layer Filter Protection Breathable Dust Masks with Elastic Ear Loop for Men Women,$5.99,n/a,4.4 out of 5,5.0,1.0,Face mask,1.0,0.0
21,Face Mask 100PCS Adult Black Disposable Masks 3-Layer Filter Protection Breathable Dust Masks with Elastic Ear Loop for Men Women,$5.99,n/a,4.4 out of 5,5.0,1.0,Face mask,1.0,0.0
22,,,,,,,,,
23,Face Mask 100PCS Adult Black Disposable Masks 3-Layer Filter Protection Breathable Dust Masks with Elastic Ear Loop for Men Women,$5.99,n/a,4.4 out of 5,5.0,1.0,Face mask,1.0,0.0
24,500PCS 3 ply black disposable masks filter mask,$65.99,n/a,4.7 out of 5,7.0,0.0,"Face Mask: Can be used for daily protection, shouldn't be used in high risk situations. Suitable for homes, offices and other private places, also for schools, outdoor and travel use.",29.0,0.0
25,500PCS 3 ply black disposable masks filter mask,$65.99,n/a,4.7 out of 5,7.0,0.0,"Face Mask: Can be used for daily protection, shouldn't be used in high risk situations. Suitable for homes, offices and other private places, also for schools, outdoor and travel use.",29.0,0.0
26,,,,,,,,,
27,500PCS 3 ply black disposable masks filter mask,$65.99,n/a,4.7 out of 5,7.0,0.0,"Face Mask: Can be used for daily protection, shouldn't be used in high risk situations. Suitable for homes, offices and other private places, also for schools, outdoor and travel use.",29.0,0.0
28,"MedPride Nitrile Exam Gloves, Powder-Free, Small, Box/100",$12.79,n/a,4.7 out of 5,3.0,0.0,no Description,0.0,0.0
29,"MedPride Nitrile Exam Gloves, Powder-Free, Small, Box/100",$12.79,n/a,4.7 out of 5,3.0,0.0,no Description,0.0,0.0
30,,,,,,,,,
31,"MedPride Nitrile Exam Gloves, Powder-Free, Small, Box/100",$12.79,n/a,4.7 out of 5,3.0,0.0,no Description,0.0,0.0
