,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Simple Modern Kids Water Bottle with Straw Lid Vacuum Insulated Stainless Steel Metal Thermos Bottles | Reusable Leak Proof BPA-Free Flask for School | Summit Collection | 14oz, Midnight Black",$16.99,n/a,4.8 out of 5,6.0,6.0,"This Summit Water Bottle will keep your favorite beverage at its ideal temperature thanks to the double-walled and vacuum insulated stainless steel. Your purchase comes with either a straw lid or includes 3 lids, but you can personalize your water bottle with any lid option from our Summit Collection. Choose a color or pattern to fit your personality!",57.0,0.0
1,"Simple Modern Kids Water Bottle with Straw Lid Vacuum Insulated Stainless Steel Metal Thermos Bottles | Reusable Leak Proof BPA-Free Flask for School | Summit Collection | 14oz, Midnight Black",$16.99,n/a,4.8 out of 5,6.0,6.0,"This Summit Water Bottle will keep your favorite beverage at its ideal temperature thanks to the double-walled and vacuum insulated stainless steel. Your purchase comes with either a straw lid or includes 3 lids, but you can personalize your water bottle with any lid option from our Summit Collection. Choose a color or pattern to fit your personality!",57.0,0.0
2,,,,,,,,,
3,"Simple Modern Kids Water Bottle with Straw Lid Vacuum Insulated Stainless Steel Metal Thermos Bottles | Reusable Leak Proof BPA-Free Flask for School | Summit Collection | 14oz, Midnight Black",$16.99,n/a,4.8 out of 5,6.0,6.0,"This Summit Water Bottle will keep your favorite beverage at its ideal temperature thanks to the double-walled and vacuum insulated stainless steel. Your purchase comes with either a straw lid or includes 3 lids, but you can personalize your water bottle with any lid option from our Summit Collection. Choose a color or pattern to fit your personality!",57.0,0.0
4,"THERMOS FUNTAINER 12 Ounce Bottle, Blue/Green & Thermos THRF401RS6 Replacement Straw Set of 2, one size, Clear",$21.98,n/a,4.8 out of 5,7.0,0.0,"THERMOS FUNTAINER 12 Ounce Stainless Steel Vacuum Insulated Kids Straw Bottle, Blue/Green
The FUNtainer 12oz Vacuum Insulated Stainless Steel Water Bottle with Straw keeps drinks cold for up to 12 hours. Our kids water bottles are built so their drinks are as cool on the inside as they look on the outside. Kids stay hydrated and parents stay happy. The double wall stainless steel construction is built to handle drops, dings and assorted roughhousing. Includes an integrated carry handle with soft-touch grip, making it easy for kids to carry with them throughout the day. Help keep germs away with the hygienically covered silicone straw which is removable for easy cleaning. To clean, you can pop your FUNtainer water bottle in the dishwasher; however hand washing is recommended. Not for use with hot liquids.

Thermos Replacement Straws for 12 Ounce Funtainer Bottle, Clear, one size (F401RS6)
Thermos brand products deliver what matters every time. As the leading manufacturer of convenient insulated products for over 100 years, Thermos brand is trusted by consumers to provide innovative portable containers that promote a safe and healthy lifestyle. This commitment continues with an expanding range of fun and functional lunch kits that get your child's healthy lunch to school and back, in style. Pack their lunch in a Thermos brand reusable lunch kit each day instead of using disposables: you'll reduce waste and save your family money! Now that's fresh thinking. This uniquely shaped lunch kit features a zippered main section made of molded EVA material and a comfortable carrying handle. Intended for children five years and older. 100% PVC free with PEVA lining and superior foam insulation. Wipe clean with a damp cloth.",275.0,2.0
5,"THERMOS FUNTAINER 12 Ounce Bottle, Blue/Green & Thermos THRF401RS6 Replacement Straw Set of 2, one size, Clear",$21.98,n/a,4.8 out of 5,7.0,0.0,"THERMOS FUNTAINER 12 Ounce Stainless Steel Vacuum Insulated Kids Straw Bottle, Blue/Green
The FUNtainer 12oz Vacuum Insulated Stainless Steel Water Bottle with Straw keeps drinks cold for up to 12 hours. Our kids water bottles are built so their drinks are as cool on the inside as they look on the outside. Kids stay hydrated and parents stay happy. The double wall stainless steel construction is built to handle drops, dings and assorted roughhousing. Includes an integrated carry handle with soft-touch grip, making it easy for kids to carry with them throughout the day. Help keep germs away with the hygienically covered silicone straw which is removable for easy cleaning. To clean, you can pop your FUNtainer water bottle in the dishwasher; however hand washing is recommended. Not for use with hot liquids.

Thermos Replacement Straws for 12 Ounce Funtainer Bottle, Clear, one size (F401RS6)
Thermos brand products deliver what matters every time. As the leading manufacturer of convenient insulated products for over 100 years, Thermos brand is trusted by consumers to provide innovative portable containers that promote a safe and healthy lifestyle. This commitment continues with an expanding range of fun and functional lunch kits that get your child's healthy lunch to school and back, in style. Pack their lunch in a Thermos brand reusable lunch kit each day instead of using disposables: you'll reduce waste and save your family money! Now that's fresh thinking. This uniquely shaped lunch kit features a zippered main section made of molded EVA material and a comfortable carrying handle. Intended for children five years and older. 100% PVC free with PEVA lining and superior foam insulation. Wipe clean with a damp cloth.",275.0,2.0
6,,,,,,,,,
7,"THERMOS FUNTAINER 12 Ounce Bottle, Blue/Green & Thermos THRF401RS6 Replacement Straw Set of 2, one size, Clear",$21.98,n/a,4.8 out of 5,7.0,0.0,"THERMOS FUNTAINER 12 Ounce Stainless Steel Vacuum Insulated Kids Straw Bottle, Blue/Green
The FUNtainer 12oz Vacuum Insulated Stainless Steel Water Bottle with Straw keeps drinks cold for up to 12 hours. Our kids water bottles are built so their drinks are as cool on the inside as they look on the outside. Kids stay hydrated and parents stay happy. The double wall stainless steel construction is built to handle drops, dings and assorted roughhousing. Includes an integrated carry handle with soft-touch grip, making it easy for kids to carry with them throughout the day. Help keep germs away with the hygienically covered silicone straw which is removable for easy cleaning. To clean, you can pop your FUNtainer water bottle in the dishwasher; however hand washing is recommended. Not for use with hot liquids.

Thermos Replacement Straws for 12 Ounce Funtainer Bottle, Clear, one size (F401RS6)
Thermos brand products deliver what matters every time. As the leading manufacturer of convenient insulated products for over 100 years, Thermos brand is trusted by consumers to provide innovative portable containers that promote a safe and healthy lifestyle. This commitment continues with an expanding range of fun and functional lunch kits that get your child's healthy lunch to school and back, in style. Pack their lunch in a Thermos brand reusable lunch kit each day instead of using disposables: you'll reduce waste and save your family money! Now that's fresh thinking. This uniquely shaped lunch kit features a zippered main section made of molded EVA material and a comfortable carrying handle. Intended for children five years and older. 100% PVC free with PEVA lining and superior foam insulation. Wipe clean with a damp cloth.",275.0,2.0
8,"Bentgo Kids Prints (Camouflage) - Leak-Proof, 5-Compartment Bento-Style Kids Lunch Box – Ideal Portion Sizes for Ages 3 to 7 – BPA-Free and Food-Safe Materials",$39.99,n/a,4.7 out of 5,6.0,6.0,no Description,0.0,0.0
9,"Bentgo Kids Prints (Camouflage) - Leak-Proof, 5-Compartment Bento-Style Kids Lunch Box – Ideal Portion Sizes for Ages 3 to 7 – BPA-Free and Food-Safe Materials",$39.99,n/a,4.7 out of 5,6.0,6.0,no Description,0.0,0.0
10,,,,,,,,,
11,"Bentgo Kids Prints (Camouflage) - Leak-Proof, 5-Compartment Bento-Style Kids Lunch Box – Ideal Portion Sizes for Ages 3 to 7 – BPA-Free and Food-Safe Materials",$39.99,n/a,4.7 out of 5,6.0,6.0,no Description,0.0,0.0
12,"BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout, 20-Ounce, Black",$8.99,n/a,4.7 out of 5,6.0,5.0,"The BlenderBottle Classic V2 Shaker Bottle is built off the design of the iconic BlenderBottle Classic, with an upgraded look, and feature updates—including a rounded base and SpoutGuard—that make it easy to maintain proper nutrition on-the-go. The patented mixing system—with a 316 surgical-grade stainless steel BlenderBall wire whisk that moves inside the bottle to smooth out mixes—makes it ideal for protein shakes, smoothies, fiber drinks, and meal replacements. A wide mouth makes it easy to add ingredients, and the rounded base ensures thorough mixing and easy cleanup. Bottle contents and liquids are securely contained by a tightly threaded screw-on lid that creates a leakproof seal, and an ergonomic flip cap that snaps securely shut for shaking and transportation (fits in most cupholders). A SpoutGuard makes it possible to open the flip top without touching the drinking spout, to keep the mouthpiece clean. Embossed markings show both ounces and milliliters for easy measuring. The BlenderBottle Classic V2 Shaker Bottle can also be used as a water bottle. Available in three sizes: 20-Ounce (measurements go to 14 ounces), 28-Ounce (measurements go to 22 ounces), and 45-Ounce (measurements go to 34 ounces). BPA- and phthalate-free. Top-rack dishwasher safe. Manufacturer’s limited lifetime warranty.",198.0,1.0
13,"BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout, 20-Ounce, Black",$8.99,n/a,4.7 out of 5,6.0,5.0,"The BlenderBottle Classic V2 Shaker Bottle is built off the design of the iconic BlenderBottle Classic, with an upgraded look, and feature updates—including a rounded base and SpoutGuard—that make it easy to maintain proper nutrition on-the-go. The patented mixing system—with a 316 surgical-grade stainless steel BlenderBall wire whisk that moves inside the bottle to smooth out mixes—makes it ideal for protein shakes, smoothies, fiber drinks, and meal replacements. A wide mouth makes it easy to add ingredients, and the rounded base ensures thorough mixing and easy cleanup. Bottle contents and liquids are securely contained by a tightly threaded screw-on lid that creates a leakproof seal, and an ergonomic flip cap that snaps securely shut for shaking and transportation (fits in most cupholders). A SpoutGuard makes it possible to open the flip top without touching the drinking spout, to keep the mouthpiece clean. Embossed markings show both ounces and milliliters for easy measuring. The BlenderBottle Classic V2 Shaker Bottle can also be used as a water bottle. Available in three sizes: 20-Ounce (measurements go to 14 ounces), 28-Ounce (measurements go to 22 ounces), and 45-Ounce (measurements go to 34 ounces). BPA- and phthalate-free. Top-rack dishwasher safe. Manufacturer’s limited lifetime warranty.",198.0,1.0
14,,,,,,,,,
15,"BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout, 20-Ounce, Black",$8.99,n/a,4.7 out of 5,6.0,5.0,"The BlenderBottle Classic V2 Shaker Bottle is built off the design of the iconic BlenderBottle Classic, with an upgraded look, and feature updates—including a rounded base and SpoutGuard—that make it easy to maintain proper nutrition on-the-go. The patented mixing system—with a 316 surgical-grade stainless steel BlenderBall wire whisk that moves inside the bottle to smooth out mixes—makes it ideal for protein shakes, smoothies, fiber drinks, and meal replacements. A wide mouth makes it easy to add ingredients, and the rounded base ensures thorough mixing and easy cleanup. Bottle contents and liquids are securely contained by a tightly threaded screw-on lid that creates a leakproof seal, and an ergonomic flip cap that snaps securely shut for shaking and transportation (fits in most cupholders). A SpoutGuard makes it possible to open the flip top without touching the drinking spout, to keep the mouthpiece clean. Embossed markings show both ounces and milliliters for easy measuring. The BlenderBottle Classic V2 Shaker Bottle can also be used as a water bottle. Available in three sizes: 20-Ounce (measurements go to 14 ounces), 28-Ounce (measurements go to 22 ounces), and 45-Ounce (measurements go to 34 ounces). BPA- and phthalate-free. Top-rack dishwasher safe. Manufacturer’s limited lifetime warranty.",198.0,1.0
