,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,2000 Mules DVD by D'Souza Media New Version with Menu Selections and Subtitles - Deluxe Edition,$24.95,n/a,4.4 out of 5,2.0,0.0,"Dinesh D'Souza's documentary film 2000 Mules tells the never before told story of what really happened in the 2020 election. Forget everything you know or think you know about election fraud. 2000 Mules exposes a massive network of coordinated fraud across all five of the states that decided the election. This fraud was more than sufficient to change the outcome. The film uses two types of evidence. The first is geotracking which monitors the cell phone movements of mules or paid criminal traffickers delivering illegal ballots to mail in drop boxes. It's a new technology used for the first time to bust a very old type of fraud. The second is video evidence, obtained from the official surveillance cameras installed by the states themselves. The film takes you to the scene of the crime, again and again and again. You can actually watch the criminals at work. Finally, the film decisively answers the most important question is who really won the 2020 election? This is a movie that documents the biggest heist in American history. Its goals are to reveal how it happened, who did it, and how to make sure that this never happens again. This movie features Catherine Engelbrecht, Eric Metaxas, Charlie Kirk, Dennis Prager, Gregg Phillips, Larry Elder, Sebastian Gorka",212.0,1.0
1,2000 Mules DVD by D'Souza Media New Version with Menu Selections and Subtitles - Deluxe Edition,$24.95,n/a,4.4 out of 5,2.0,0.0,"Dinesh D'Souza's documentary film 2000 Mules tells the never before told story of what really happened in the 2020 election. Forget everything you know or think you know about election fraud. 2000 Mules exposes a massive network of coordinated fraud across all five of the states that decided the election. This fraud was more than sufficient to change the outcome. The film uses two types of evidence. The first is geotracking which monitors the cell phone movements of mules or paid criminal traffickers delivering illegal ballots to mail in drop boxes. It's a new technology used for the first time to bust a very old type of fraud. The second is video evidence, obtained from the official surveillance cameras installed by the states themselves. The film takes you to the scene of the crime, again and again and again. You can actually watch the criminals at work. Finally, the film decisively answers the most important question is who really won the 2020 election? This is a movie that documents the biggest heist in American history. Its goals are to reveal how it happened, who did it, and how to make sure that this never happens again. This movie features Catherine Engelbrecht, Eric Metaxas, Charlie Kirk, Dennis Prager, Gregg Phillips, Larry Elder, Sebastian Gorka",212.0,1.0
2,,,,,,,,,
3,2000 Mules DVD by D'Souza Media New Version with Menu Selections and Subtitles - Deluxe Edition,$24.95,n/a,4.4 out of 5,2.0,0.0,"Dinesh D'Souza's documentary film 2000 Mules tells the never before told story of what really happened in the 2020 election. Forget everything you know or think you know about election fraud. 2000 Mules exposes a massive network of coordinated fraud across all five of the states that decided the election. This fraud was more than sufficient to change the outcome. The film uses two types of evidence. The first is geotracking which monitors the cell phone movements of mules or paid criminal traffickers delivering illegal ballots to mail in drop boxes. It's a new technology used for the first time to bust a very old type of fraud. The second is video evidence, obtained from the official surveillance cameras installed by the states themselves. The film takes you to the scene of the crime, again and again and again. You can actually watch the criminals at work. Finally, the film decisively answers the most important question is who really won the 2020 election? This is a movie that documents the biggest heist in American history. Its goals are to reveal how it happened, who did it, and how to make sure that this never happens again. This movie features Catherine Engelbrecht, Eric Metaxas, Charlie Kirk, Dennis Prager, Gregg Phillips, Larry Elder, Sebastian Gorka",212.0,1.0
4,Downton Abbey: A New Era,$19.98,n/a,4.8 out of 5,3.0,0.0,"The much anticipated cinematic return of Downton Abbey follows the Crawleys and their staff as they welcome a movie crew and their glamorous stars to Downton for the filming of a new silent movie, while other members of the family go on a grand adventure to a villa in the south of France to uncover a mystery about the Dowager Countess and her past. With a screenplay by Julian Fellowes and starring the original cast alongside exciting new additions, Downton Abbey: A New Era is packed full of exuberant moments, excitement and humor, tears of joy and sadness and new beginnings for all your favorite characters.

Bonus Content:
Good To Be Back
Return to Downton Abbey: The Making Of A New Era
A Legendary Character
Creating The Film... Within The Film
Her Majesty's Yacht Britannia
Spill The Tea (Time)
Feature Commentary with Director Simon Curtis
]]>",136.0,1.0
5,Downton Abbey: A New Era,$19.98,n/a,4.8 out of 5,3.0,0.0,"The much anticipated cinematic return of Downton Abbey follows the Crawleys and their staff as they welcome a movie crew and their glamorous stars to Downton for the filming of a new silent movie, while other members of the family go on a grand adventure to a villa in the south of France to uncover a mystery about the Dowager Countess and her past. With a screenplay by Julian Fellowes and starring the original cast alongside exciting new additions, Downton Abbey: A New Era is packed full of exuberant moments, excitement and humor, tears of joy and sadness and new beginnings for all your favorite characters.

Bonus Content:
Good To Be Back
Return to Downton Abbey: The Making Of A New Era
A Legendary Character
Creating The Film... Within The Film
Her Majesty's Yacht Britannia
Spill The Tea (Time)
Feature Commentary with Director Simon Curtis
]]>",136.0,1.0
6,,,,,,,,,
7,Downton Abbey: A New Era,$19.98,n/a,4.8 out of 5,3.0,0.0,"The much anticipated cinematic return of Downton Abbey follows the Crawleys and their staff as they welcome a movie crew and their glamorous stars to Downton for the filming of a new silent movie, while other members of the family go on a grand adventure to a villa in the south of France to uncover a mystery about the Dowager Countess and her past. With a screenplay by Julian Fellowes and starring the original cast alongside exciting new additions, Downton Abbey: A New Era is packed full of exuberant moments, excitement and humor, tears of joy and sadness and new beginnings for all your favorite characters.

Bonus Content:
Good To Be Back
Return to Downton Abbey: The Making Of A New Era
A Legendary Character
Creating The Film... Within The Film
Her Majesty's Yacht Britannia
Spill The Tea (Time)
Feature Commentary with Director Simon Curtis
]]>",136.0,1.0
8,Doctor Strange in the Multiverse of Madness Feature 4K UHD,$29.96,n/a,4.2 out of 5,3.0,0.0,no description,0.0,0.0
9,Doctor Strange in the Multiverse of Madness Feature 4K UHD,$29.96,n/a,4.2 out of 5,3.0,0.0,no description,0.0,0.0
10,,,,,,,,,
11,Doctor Strange in the Multiverse of Madness Feature 4K UHD,$29.96,n/a,4.2 out of 5,3.0,0.0,no description,0.0,0.0
12,Doctor Strange in the Multiverse of Madness Feature,$24.96,n/a,4.2 out of 5,3.0,0.0,no description,0.0,0.0
13,Doctor Strange in the Multiverse of Madness Feature,$24.96,n/a,4.2 out of 5,3.0,0.0,no description,0.0,0.0
14,,,,,,,,,
15,Doctor Strange in the Multiverse of Madness Feature,$24.96,n/a,4.2 out of 5,3.0,0.0,no description,0.0,0.0
16,Top Gun: Maverick,$24.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
17,Top Gun: Maverick,$24.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
18,,,,,,,,,
19,Top Gun: Maverick,$24.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
20,Top Gun: Maverick,$19.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
21,Top Gun: Maverick,$19.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
22,,,,,,,,,
23,Top Gun: Maverick,$19.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
24,Elvis,$19.99,n/a,4.9 out of 5,1.0,0.0,"A thoroughly cinematic drama, Elvis's story is seen through the prism of his complicated relationship with his enigmatic manager, Colonel Tom Parker. As told by Parker, the film delves into the complex dynamic between the two spanning over 20 years, from Presley's rise to fame to his unprecedented stardom, against the backdrop of the evolving cultural landscape and loss of innocence in America. Central to that journey is one of the significant and influential people in Elvis's life, Priscilla Presley.",79.0,0.0
25,Elvis,$19.99,n/a,4.9 out of 5,1.0,0.0,"A thoroughly cinematic drama, Elvis's story is seen through the prism of his complicated relationship with his enigmatic manager, Colonel Tom Parker. As told by Parker, the film delves into the complex dynamic between the two spanning over 20 years, from Presley's rise to fame to his unprecedented stardom, against the backdrop of the evolving cultural landscape and loss of innocence in America. Central to that journey is one of the significant and influential people in Elvis's life, Priscilla Presley.",79.0,0.0
26,,,,,,,,,
27,Elvis,$19.99,n/a,4.9 out of 5,1.0,0.0,"A thoroughly cinematic drama, Elvis's story is seen through the prism of his complicated relationship with his enigmatic manager, Colonel Tom Parker. As told by Parker, the film delves into the complex dynamic between the two spanning over 20 years, from Presley's rise to fame to his unprecedented stardom, against the backdrop of the evolving cultural landscape and loss of innocence in America. Central to that journey is one of the significant and influential people in Elvis's life, Priscilla Presley.",79.0,0.0
28,Top Gun: Maverick,$29.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
29,Top Gun: Maverick,$29.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
30,,,,,,,,,
31,Top Gun: Maverick,$29.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
32,Everything Everywhere All At Once [4K UHD],$24.96,n/a,4.4 out of 5,1.0,0.0,A hilarious and big-hearted sci-fi action adventure about an exhausted Chinese American woman (Michelle Yeoh) who is swept up in an insane adventure across the multiverse.,25.0,0.0
33,Everything Everywhere All At Once [4K UHD],$24.96,n/a,4.4 out of 5,1.0,0.0,A hilarious and big-hearted sci-fi action adventure about an exhausted Chinese American woman (Michelle Yeoh) who is swept up in an insane adventure across the multiverse.,25.0,0.0
34,,,,,,,,,
35,Everything Everywhere All At Once [4K UHD],$24.96,n/a,4.4 out of 5,1.0,0.0,A hilarious and big-hearted sci-fi action adventure about an exhausted Chinese American woman (Michelle Yeoh) who is swept up in an insane adventure across the multiverse.,25.0,0.0
36,Yellowstone: The First Four Seasons [DVD],$36.99,n/a,4.8 out of 5,2.0,1.0,Yellowstone: The First Four Seasons [DVD],5.0,0.0
