,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Ernie Ball Hybrid Slinky Nickel Wound Electric Guitar Strings 3-pack, 9-46 Gauge (P03222)",$16.99,n/a,4.8 out of 5,3.0,4.0,"Product Description
Now available in convenient three-set packs, Ernie Ball Hybrid Slinky electric guitar strings combine the plain strings of our Super Slinkys with the wound strings of our Regular Slinkys. This combination offers players Super Slinky playability on the high strings while maintaining a little more weight on the lower strings. These electric guitar strings are precision manufactured to the highest standards and most exacting specifications to ensure consistency, optimum performance, and long life. Hybrid Slinky wound strings are made from nickel-plated steel wire wrapped around a hex-shaped steel core wire. The plain strings are made of specially tempered tin-plated high-carbon steel, resulting in a bright and well-balanced tone for your guitar. Hybrid Slinky gauges are .009 .011 .016 .026 .036 .046.
From the Manufacturer
Now available in convenient three-set packs Ernie Ball Hybrid Slinky Electric Strings are a perfect match for those who like the ability to combine the combination of Super and Regular Slinkys. These strings are precision manufactured to the highest standards and most exacting specifications to ensure consistency, optimum performance, and long life. Hybrid Slinky wound strings are made from nickel plated steel wire wrapped around a hex shaped steel core wire. The plain strings are made of specially tempered tin plated high carbon steel producing a well balanced tone for your guitar. Gauges . 009, . 011, . 016, . 026, . 036, . 046",227.0,1.0
1,"Ernie Ball Hybrid Slinky Nickel Wound Electric Guitar Strings 3-pack, 9-46 Gauge (P03222)",$16.99,n/a,4.8 out of 5,3.0,4.0,"Product Description
Now available in convenient three-set packs, Ernie Ball Hybrid Slinky electric guitar strings combine the plain strings of our Super Slinkys with the wound strings of our Regular Slinkys. This combination offers players Super Slinky playability on the high strings while maintaining a little more weight on the lower strings. These electric guitar strings are precision manufactured to the highest standards and most exacting specifications to ensure consistency, optimum performance, and long life. Hybrid Slinky wound strings are made from nickel-plated steel wire wrapped around a hex-shaped steel core wire. The plain strings are made of specially tempered tin-plated high-carbon steel, resulting in a bright and well-balanced tone for your guitar. Hybrid Slinky gauges are .009 .011 .016 .026 .036 .046.
From the Manufacturer
Now available in convenient three-set packs Ernie Ball Hybrid Slinky Electric Strings are a perfect match for those who like the ability to combine the combination of Super and Regular Slinkys. These strings are precision manufactured to the highest standards and most exacting specifications to ensure consistency, optimum performance, and long life. Hybrid Slinky wound strings are made from nickel plated steel wire wrapped around a hex shaped steel core wire. The plain strings are made of specially tempered tin plated high carbon steel producing a well balanced tone for your guitar. Gauges . 009, . 011, . 016, . 026, . 036, . 046",227.0,1.0
2,,,,,,,,,
3,"Ernie Ball Hybrid Slinky Nickel Wound Electric Guitar Strings 3-pack, 9-46 Gauge (P03222)",$16.99,n/a,4.8 out of 5,3.0,4.0,"Product Description
Now available in convenient three-set packs, Ernie Ball Hybrid Slinky electric guitar strings combine the plain strings of our Super Slinkys with the wound strings of our Regular Slinkys. This combination offers players Super Slinky playability on the high strings while maintaining a little more weight on the lower strings. These electric guitar strings are precision manufactured to the highest standards and most exacting specifications to ensure consistency, optimum performance, and long life. Hybrid Slinky wound strings are made from nickel-plated steel wire wrapped around a hex-shaped steel core wire. The plain strings are made of specially tempered tin-plated high-carbon steel, resulting in a bright and well-balanced tone for your guitar. Hybrid Slinky gauges are .009 .011 .016 .026 .036 .046.
From the Manufacturer
Now available in convenient three-set packs Ernie Ball Hybrid Slinky Electric Strings are a perfect match for those who like the ability to combine the combination of Super and Regular Slinkys. These strings are precision manufactured to the highest standards and most exacting specifications to ensure consistency, optimum performance, and long life. Hybrid Slinky wound strings are made from nickel plated steel wire wrapped around a hex shaped steel core wire. The plain strings are made of specially tempered tin plated high carbon steel producing a well balanced tone for your guitar. Gauges . 009, . 011, . 016, . 026, . 036, . 046",227.0,1.0
4,"BONAOK Wireless Bluetooth Karaoke Microphone, 3-in-1 Portable Handheld Mic Speaker Machine for All Smartphones, Gift for Girls Boys Kids Adults All Age Q37(Green)",$30.99,n/a,4.4 out of 5,6.0,3.0,no Description,0.0,0.0
5,"BONAOK Wireless Bluetooth Karaoke Microphone, 3-in-1 Portable Handheld Mic Speaker Machine for All Smartphones, Gift for Girls Boys Kids Adults All Age Q37(Green)",$30.99,n/a,4.4 out of 5,6.0,3.0,no Description,0.0,0.0
6,,,,,,,,,
7,"BONAOK Wireless Bluetooth Karaoke Microphone, 3-in-1 Portable Handheld Mic Speaker Machine for All Smartphones, Gift for Girls Boys Kids Adults All Age Q37(Green)",$30.99,n/a,4.4 out of 5,6.0,3.0,no Description,0.0,0.0
8,"Amazon Basics XLR Male to Female Microphone Cable - 3 Feet, 2-Pack, Black",$13.47,n/a,4.7 out of 5,5.0,0.0,"Product Description
Amazon Basics XLR Male to Female Microphone Cable - 3 Feet, 2-Pack, Black
From the Manufacturer
Amazon Basics",16.0,0.0
9,"Amazon Basics XLR Male to Female Microphone Cable - 3 Feet, 2-Pack, Black",$13.47,n/a,4.7 out of 5,5.0,0.0,"Product Description
Amazon Basics XLR Male to Female Microphone Cable - 3 Feet, 2-Pack, Black
From the Manufacturer
Amazon Basics",16.0,0.0
10,,,,,,,,,
11,"Amazon Basics XLR Male to Female Microphone Cable - 3 Feet, 2-Pack, Black",$13.47,n/a,4.7 out of 5,5.0,0.0,"Product Description
Amazon Basics XLR Male to Female Microphone Cable - 3 Feet, 2-Pack, Black
From the Manufacturer
Amazon Basics",16.0,0.0
12,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95,n/a,4.8 out of 5,6.0,4.0,"Product Description
Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars
From the Manufacturer
Amazon Basics",14.0,0.0
13,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95,n/a,4.8 out of 5,6.0,4.0,"Product Description
Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars
From the Manufacturer
Amazon Basics",14.0,0.0
14,,,,,,,,,
15,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95,n/a,4.8 out of 5,6.0,4.0,"Product Description
Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars
From the Manufacturer
Amazon Basics",14.0,0.0
