,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Amazon Basics 30% Recycled Multipurpose Copy Printer Paper - 8.5 x 11 Inches, 1 Ream (500 Sheets)",$11.99,n/a,4.8 out of 5,7.0,0.0,"Product Description
Amazon Basics 30% Recycled Copy Printer Paper, 8.5 x 11 Inch 20Lb Paper - 1 Ream (500 Sheets), 92 GE Bright White
From the Manufacturer
Amazon Basics",25.0,0.0
1,"Amazon Basics 30% Recycled Multipurpose Copy Printer Paper - 8.5 x 11 Inches, 1 Ream (500 Sheets)",$11.99,n/a,4.8 out of 5,7.0,0.0,"Product Description
Amazon Basics 30% Recycled Copy Printer Paper, 8.5 x 11 Inch 20Lb Paper - 1 Ream (500 Sheets), 92 GE Bright White
From the Manufacturer
Amazon Basics",25.0,0.0
2,,,,,,,,,
3,"Amazon Basics 30% Recycled Multipurpose Copy Printer Paper - 8.5 x 11 Inches, 1 Ream (500 Sheets)",$11.99,n/a,4.8 out of 5,7.0,0.0,"Product Description
Amazon Basics 30% Recycled Copy Printer Paper, 8.5 x 11 Inch 20Lb Paper - 1 Ream (500 Sheets), 92 GE Bright White
From the Manufacturer
Amazon Basics",25.0,0.0
4,"Low-Odor Dry Erase Markers, Chisel Tip, Black",$10.48,n/a,4.8 out of 5,6.0,0.0,no description,0.0,0.0
5,"Low-Odor Dry Erase Markers, Chisel Tip, Black",$10.48,n/a,4.8 out of 5,6.0,0.0,no description,0.0,0.0
6,,,,,,,,,
7,"Low-Odor Dry Erase Markers, Chisel Tip, Black",$10.48,n/a,4.8 out of 5,6.0,0.0,no description,0.0,0.0
8,"EZlifego Double Sided Tape Heavy Duty, Multipurpose Removable Mounting Tape Adhesive Grip,Reusable Strong Sticky Wall Tape Strips Transparent Tape Poster Carpet Tape for Paste Items,Household (9.85FT)",$13.99,n/a,4.3 out of 5,6.0,6.0,no Description,0.0,0.0
9,"EZlifego Double Sided Tape Heavy Duty, Multipurpose Removable Mounting Tape Adhesive Grip,Reusable Strong Sticky Wall Tape Strips Transparent Tape Poster Carpet Tape for Paste Items,Household (9.85FT)",$13.99,n/a,4.3 out of 5,6.0,6.0,no Description,0.0,0.0
10,,,,,,,,,
11,"EZlifego Double Sided Tape Heavy Duty, Multipurpose Removable Mounting Tape Adhesive Grip,Reusable Strong Sticky Wall Tape Strips Transparent Tape Poster Carpet Tape for Paste Items,Household (9.85FT)",$13.99,n/a,4.3 out of 5,6.0,6.0,no Description,0.0,0.0
12,"EXPO 80074 Low-Odor Dry Erase Markers, Chisel Tip, Assorted Colors, 4-Count",$4.89,n/a,4.8 out of 5,5.0,6.0,Markers are AP-certified nontoxic and conform to ASTM D-4236.,8.0,0.0
13,"EXPO 80074 Low-Odor Dry Erase Markers, Chisel Tip, Assorted Colors, 4-Count",$4.89,n/a,4.8 out of 5,5.0,6.0,Markers are AP-certified nontoxic and conform to ASTM D-4236.,8.0,0.0
14,,,,,,,,,
15,"EXPO 80074 Low-Odor Dry Erase Markers, Chisel Tip, Assorted Colors, 4-Count",$4.89,n/a,4.8 out of 5,5.0,6.0,Markers are AP-certified nontoxic and conform to ASTM D-4236.,8.0,0.0
16,"Pencils, Wood-Cased, Pre-Sharpened, 2 HB Soft, Yellow, 1 Pack - 72 Count",Page 1 of 1,n/a,4.8 out of 5,1.0,0.0,"Pencils, Wood-Cased, Pre-Sharpened, #2 HB Soft, Yellow, 1 Pack - 72 Count",11.0,0.0
17,"Pencils, Wood-Cased, Pre-Sharpened, 2 HB Soft, Yellow, 1 Pack - 72 Count",Page 1 of 1,n/a,4.8 out of 5,1.0,0.0,"Pencils, Wood-Cased, Pre-Sharpened, #2 HB Soft, Yellow, 1 Pack - 72 Count",11.0,0.0
18,,,,,,,,,
19,"Pencils, Wood-Cased, Pre-Sharpened, 2 HB Soft, Yellow, 1 Pack - 72 Count",Page 1 of 1,n/a,4.8 out of 5,1.0,0.0,"Pencils, Wood-Cased, Pre-Sharpened, #2 HB Soft, Yellow, 1 Pack - 72 Count",11.0,0.0
20,"Elmer's Disappearing Purple School Glue, Washable, 6 Pack, 0.21-ounce sticks","Paper Mate Pink Pearl Erasers, Large, 3 Count",n/a,4.8 out of 5,7.0,0.0,"Product Description
Assemble school projects, crafts, decorations, and more with the non-toxic adhesive of Elmer's Disappearing Purple School Glue Sticks. Specially formulated to be easy to use and clean up, this glue is purple when first applied so it's easy to see, then it dries clear for great results. Elmer's Disappearing Purple School Glue Sticks are washable and non-toxic for fun and easy crafting.
From the Manufacturer



For more than sixty years, Elmer's Products, Inc., has been providing creative adhesive solutions that support project success and turn ideas into reality. By continuing to develop innovative new products, Elmer's has become the trusted brand when it comes to fueling creativity and providing outstanding product performance in the classroom, at home, in the workshop and at the craft table. Elmer's products inspire people to create, build and learn for life.


Elmer's School Glue is easy to use and stays where you put it. View larger


Elmer's Disappearing Purple School Glue Sticks go on smoothly and are great for kids. View larger

Which Elmer's Adhesive Products Is Best for Your Needs?
Elmer's answers the most important question of all: ""which glue should I use?"" Whether you are a teacher, a student, a crafter, a business owner or a homeowner, Elmer's the ""Glue Experts"" for over 60 years, offers the solutions to all your glue and adhesive needs.


The trusted brand for fueling creativity and product performance. View larger

Elmer's Washable, No-Run School Glue--Elmer's Washable, No-Run School Glue is easy to use and stays where you put it. It is safe, non-toxic, and washable, so accidental messes mean easy clean-up. Bonds most porous materials such as paper and cloth, and semi-porous materials such as wood and pottery.
Elmer's Disappearing Purple School Glue Sticks--Elmer's Disappearing Purple School Glue Sticks go on smoothly and are great for kids. The Disappearing Purple formula goes on purple, so it is easy to see and dries clear. It is safe, non-toxic, and is a must-have for all students.
Elmer's Glue-All--America's all-purpose glue is now better than ever. Perfect for school projects, crafts and home repair. Works on a variety of materials, i.e. paper, wood, fabric, leather, ceramics and more. Elmer's Glue-All is a must-have for the kitchen, home office, workshop and garage. Bonds strong for all your needs.
Elmer's Washable Repositionable School Glue Sticks--Elmer's Repositionable School Glue Stick goes on smooth and dries fast, clear, and colorless. The formula allows you to stick and re-stick so it's perfect for school projects, decorations, and much more.
Elmer's All-Purpose Glue Sticks--Elmer's All Purpose Glue Stick is a favorite for easy, no-mess bonding. The All Purpose formula bonds clear and strong and works on a variety of paper types, including cardboard, foam board, display board, computer paper, and more. Elmer's All Purpose Glue Stick goes on smooth and dries fast, clear and colorless. It is acid-free, washable, safe and non-toxic.
Elmer's Carpenter's Wood Glue--Elmer's Carpenter's Wood Glue has been in American homes for generations. Contractors and homeowners alike use Carpenter's Wood Glue because it sets fast and bonds strong, even stronger than wood. Carpenter's Wood Glue is sandable and paintable, so you'll have the perfect finish every time. Easy to clean up with water.


Elmer's for the Classroom


A favorite of teachers everywhere

Elmer's All-Purpose Washable School Glue Sticks--Elmer's classroom packs are ideal for teachers everywhere. Make sure all your projects meet the standards you demand. Elmer's All Purpose Washable School Glue Stick goes on smoothly, is safe, washable, and non-toxic, making all your lesson plans easier and more fun.
Elmer's School Glue--Elmer's School Glue is a trusted favorite of classroom teachers everywhere. Going back to school just wouldn't be the same without it. Elmer's School Glue is safe, non-toxic, and washable, so accidental messes mean easy clean-up. Elmer's convenient Gallon size emphasizes reducing waste while keeping your students prepared for any project.
Elmer's Disappearing Purple School Glue Sticks--The Elmer's Disappearing Purple School Glue Stick, available in a classroom-ready pack of 30, goes on smoothly and is great for kids. The Disappearing Purple formula goes on purple, so it is easy to see and dries clear. It is safe, non-toxic, and a must have for all students.
Find the Right Glue for You
Use this guide as you create, build and learn with Elmer's. As an industry leader Elmer's has been providing creative adhesive solutions that support project success and turn ideas into reality. By continuing to develop innovative new products, Elmer's has become the trusted brand when it comes to fueling creativity and providing outstanding product performance in the classroom, at home, in the workshop, and at the craft table. Elmer's products inspire people to create, build and learn for life.



See more",759.0,5.0
21,"Elmer's Disappearing Purple School Glue, Washable, 6 Pack, 0.21-ounce sticks","Paper Mate Pink Pearl Erasers, Large, 3 Count",n/a,4.8 out of 5,7.0,0.0,"Product Description
Assemble school projects, crafts, decorations, and more with the non-toxic adhesive of Elmer's Disappearing Purple School Glue Sticks. Specially formulated to be easy to use and clean up, this glue is purple when first applied so it's easy to see, then it dries clear for great results. Elmer's Disappearing Purple School Glue Sticks are washable and non-toxic for fun and easy crafting.
From the Manufacturer



For more than sixty years, Elmer's Products, Inc., has been providing creative adhesive solutions that support project success and turn ideas into reality. By continuing to develop innovative new products, Elmer's has become the trusted brand when it comes to fueling creativity and providing outstanding product performance in the classroom, at home, in the workshop and at the craft table. Elmer's products inspire people to create, build and learn for life.


Elmer's School Glue is easy to use and stays where you put it. View larger


Elmer's Disappearing Purple School Glue Sticks go on smoothly and are great for kids. View larger

Which Elmer's Adhesive Products Is Best for Your Needs?
Elmer's answers the most important question of all: ""which glue should I use?"" Whether you are a teacher, a student, a crafter, a business owner or a homeowner, Elmer's the ""Glue Experts"" for over 60 years, offers the solutions to all your glue and adhesive needs.


The trusted brand for fueling creativity and product performance. View larger

Elmer's Washable, No-Run School Glue--Elmer's Washable, No-Run School Glue is easy to use and stays where you put it. It is safe, non-toxic, and washable, so accidental messes mean easy clean-up. Bonds most porous materials such as paper and cloth, and semi-porous materials such as wood and pottery.
Elmer's Disappearing Purple School Glue Sticks--Elmer's Disappearing Purple School Glue Sticks go on smoothly and are great for kids. The Disappearing Purple formula goes on purple, so it is easy to see and dries clear. It is safe, non-toxic, and is a must-have for all students.
Elmer's Glue-All--America's all-purpose glue is now better than ever. Perfect for school projects, crafts and home repair. Works on a variety of materials, i.e. paper, wood, fabric, leather, ceramics and more. Elmer's Glue-All is a must-have for the kitchen, home office, workshop and garage. Bonds strong for all your needs.
Elmer's Washable Repositionable School Glue Sticks--Elmer's Repositionable School Glue Stick goes on smooth and dries fast, clear, and colorless. The formula allows you to stick and re-stick so it's perfect for school projects, decorations, and much more.
Elmer's All-Purpose Glue Sticks--Elmer's All Purpose Glue Stick is a favorite for easy, no-mess bonding. The All Purpose formula bonds clear and strong and works on a variety of paper types, including cardboard, foam board, display board, computer paper, and more. Elmer's All Purpose Glue Stick goes on smooth and dries fast, clear and colorless. It is acid-free, washable, safe and non-toxic.
Elmer's Carpenter's Wood Glue--Elmer's Carpenter's Wood Glue has been in American homes for generations. Contractors and homeowners alike use Carpenter's Wood Glue because it sets fast and bonds strong, even stronger than wood. Carpenter's Wood Glue is sandable and paintable, so you'll have the perfect finish every time. Easy to clean up with water.


Elmer's for the Classroom


A favorite of teachers everywhere

Elmer's All-Purpose Washable School Glue Sticks--Elmer's classroom packs are ideal for teachers everywhere. Make sure all your projects meet the standards you demand. Elmer's All Purpose Washable School Glue Stick goes on smoothly, is safe, washable, and non-toxic, making all your lesson plans easier and more fun.
Elmer's School Glue--Elmer's School Glue is a trusted favorite of classroom teachers everywhere. Going back to school just wouldn't be the same without it. Elmer's School Glue is safe, non-toxic, and washable, so accidental messes mean easy clean-up. Elmer's convenient Gallon size emphasizes reducing waste while keeping your students prepared for any project.
Elmer's Disappearing Purple School Glue Sticks--The Elmer's Disappearing Purple School Glue Stick, available in a classroom-ready pack of 30, goes on smoothly and is great for kids. The Disappearing Purple formula goes on purple, so it is easy to see and dries clear. It is safe, non-toxic, and a must have for all students.
Find the Right Glue for You
Use this guide as you create, build and learn with Elmer's. As an industry leader Elmer's has been providing creative adhesive solutions that support project success and turn ideas into reality. By continuing to develop innovative new products, Elmer's has become the trusted brand when it comes to fueling creativity and providing outstanding product performance in the classroom, at home, in the workshop, and at the craft table. Elmer's products inspire people to create, build and learn for life.



See more",759.0,5.0
22,,,,,,,,,
23,"Elmer's Disappearing Purple School Glue, Washable, 6 Pack, 0.21-ounce sticks","Paper Mate Pink Pearl Erasers, Large, 3 Count",n/a,4.8 out of 5,7.0,0.0,"Product Description
Assemble school projects, crafts, decorations, and more with the non-toxic adhesive of Elmer's Disappearing Purple School Glue Sticks. Specially formulated to be easy to use and clean up, this glue is purple when first applied so it's easy to see, then it dries clear for great results. Elmer's Disappearing Purple School Glue Sticks are washable and non-toxic for fun and easy crafting.
From the Manufacturer



For more than sixty years, Elmer's Products, Inc., has been providing creative adhesive solutions that support project success and turn ideas into reality. By continuing to develop innovative new products, Elmer's has become the trusted brand when it comes to fueling creativity and providing outstanding product performance in the classroom, at home, in the workshop and at the craft table. Elmer's products inspire people to create, build and learn for life.


Elmer's School Glue is easy to use and stays where you put it. View larger


Elmer's Disappearing Purple School Glue Sticks go on smoothly and are great for kids. View larger

Which Elmer's Adhesive Products Is Best for Your Needs?
Elmer's answers the most important question of all: ""which glue should I use?"" Whether you are a teacher, a student, a crafter, a business owner or a homeowner, Elmer's the ""Glue Experts"" for over 60 years, offers the solutions to all your glue and adhesive needs.


The trusted brand for fueling creativity and product performance. View larger

Elmer's Washable, No-Run School Glue--Elmer's Washable, No-Run School Glue is easy to use and stays where you put it. It is safe, non-toxic, and washable, so accidental messes mean easy clean-up. Bonds most porous materials such as paper and cloth, and semi-porous materials such as wood and pottery.
Elmer's Disappearing Purple School Glue Sticks--Elmer's Disappearing Purple School Glue Sticks go on smoothly and are great for kids. The Disappearing Purple formula goes on purple, so it is easy to see and dries clear. It is safe, non-toxic, and is a must-have for all students.
Elmer's Glue-All--America's all-purpose glue is now better than ever. Perfect for school projects, crafts and home repair. Works on a variety of materials, i.e. paper, wood, fabric, leather, ceramics and more. Elmer's Glue-All is a must-have for the kitchen, home office, workshop and garage. Bonds strong for all your needs.
Elmer's Washable Repositionable School Glue Sticks--Elmer's Repositionable School Glue Stick goes on smooth and dries fast, clear, and colorless. The formula allows you to stick and re-stick so it's perfect for school projects, decorations, and much more.
Elmer's All-Purpose Glue Sticks--Elmer's All Purpose Glue Stick is a favorite for easy, no-mess bonding. The All Purpose formula bonds clear and strong and works on a variety of paper types, including cardboard, foam board, display board, computer paper, and more. Elmer's All Purpose Glue Stick goes on smooth and dries fast, clear and colorless. It is acid-free, washable, safe and non-toxic.
Elmer's Carpenter's Wood Glue--Elmer's Carpenter's Wood Glue has been in American homes for generations. Contractors and homeowners alike use Carpenter's Wood Glue because it sets fast and bonds strong, even stronger than wood. Carpenter's Wood Glue is sandable and paintable, so you'll have the perfect finish every time. Easy to clean up with water.


Elmer's for the Classroom


A favorite of teachers everywhere

Elmer's All-Purpose Washable School Glue Sticks--Elmer's classroom packs are ideal for teachers everywhere. Make sure all your projects meet the standards you demand. Elmer's All Purpose Washable School Glue Stick goes on smoothly, is safe, washable, and non-toxic, making all your lesson plans easier and more fun.
Elmer's School Glue--Elmer's School Glue is a trusted favorite of classroom teachers everywhere. Going back to school just wouldn't be the same without it. Elmer's School Glue is safe, non-toxic, and washable, so accidental messes mean easy clean-up. Elmer's convenient Gallon size emphasizes reducing waste while keeping your students prepared for any project.
Elmer's Disappearing Purple School Glue Sticks--The Elmer's Disappearing Purple School Glue Stick, available in a classroom-ready pack of 30, goes on smoothly and is great for kids. The Disappearing Purple formula goes on purple, so it is easy to see and dries clear. It is safe, non-toxic, and a must have for all students.
Find the Right Glue for You
Use this guide as you create, build and learn with Elmer's. As an industry leader Elmer's has been providing creative adhesive solutions that support project success and turn ideas into reality. By continuing to develop innovative new products, Elmer's has become the trusted brand when it comes to fueling creativity and providing outstanding product performance in the classroom, at home, in the workshop, and at the craft table. Elmer's products inspire people to create, build and learn for life.



See more",759.0,5.0
24,"Pencils, Wood-Cased, Pre-Sharpened, Graphite #2 HB Soft, Yellow, 1 Pack - 30 Count (X13830)","
          0% (0%)
        ",n/a,4.8 out of 5,1.0,0.0,"Pencils, Wood-Cased, Pre-Sharpened, Graphite #2 HB Soft, Yellow, 1 Pack - 30 Count (X13830)",13.0,0.0
