,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"TERRO T300B Liquid Ant Killer, 12 Bait Stations",$11.92,n/a,4.6 out of 5,6.0,6.0,"To kill common household ants, simply place TERRO Liquid Ant Baits stations near indoor areas where ants are spotted. Ants enter the trap, consume the liquid ant bait and return to the nest where they pass on the bait to the rest of the colony. TERRO Liquid Ant Baits are specifically formulated to allow worker ants to consume the product and survive long enough to carry the liquid back to the nest and deliver a dose to the rest of the colony . The liquid ant bait stations prevent the bait from drying out and provide the ants with a continuous supply of liquid, day and night. Monitor the baits regularly for activity, but do not interfere with the ants or baits. Replace with additional baits when the first set is depleted. Depending on the size of the ant infestation, complete control may take up to two weeks.
Recommended Placement : Along baseboards In corners of rooms and cabinets On countertops Under and behind appliances Under sinks or around pipes and water sources On windowsills and around doorways Near garbage cans Along ant trails.",182.0,0.0
1,"TERRO T300B Liquid Ant Killer, 12 Bait Stations",$11.92,n/a,4.6 out of 5,6.0,6.0,"To kill common household ants, simply place TERRO Liquid Ant Baits stations near indoor areas where ants are spotted. Ants enter the trap, consume the liquid ant bait and return to the nest where they pass on the bait to the rest of the colony. TERRO Liquid Ant Baits are specifically formulated to allow worker ants to consume the product and survive long enough to carry the liquid back to the nest and deliver a dose to the rest of the colony . The liquid ant bait stations prevent the bait from drying out and provide the ants with a continuous supply of liquid, day and night. Monitor the baits regularly for activity, but do not interfere with the ants or baits. Replace with additional baits when the first set is depleted. Depending on the size of the ant infestation, complete control may take up to two weeks.
Recommended Placement : Along baseboards In corners of rooms and cabinets On countertops Under and behind appliances Under sinks or around pipes and water sources On windowsills and around doorways Near garbage cans Along ant trails.",182.0,0.0
2,,,,,,,,,
3,"TERRO T300B Liquid Ant Killer, 12 Bait Stations",$11.92,n/a,4.6 out of 5,6.0,6.0,"To kill common household ants, simply place TERRO Liquid Ant Baits stations near indoor areas where ants are spotted. Ants enter the trap, consume the liquid ant bait and return to the nest where they pass on the bait to the rest of the colony. TERRO Liquid Ant Baits are specifically formulated to allow worker ants to consume the product and survive long enough to carry the liquid back to the nest and deliver a dose to the rest of the colony . The liquid ant bait stations prevent the bait from drying out and provide the ants with a continuous supply of liquid, day and night. Monitor the baits regularly for activity, but do not interfere with the ants or baits. Replace with additional baits when the first set is depleted. Depending on the size of the ant infestation, complete control may take up to two weeks.
Recommended Placement : Along baseboards In corners of rooms and cabinets On countertops Under and behind appliances Under sinks or around pipes and water sources On windowsills and around doorways Near garbage cans Along ant trails.",182.0,0.0
4,TERRO T2502 Ready-to-Use Indoor Fruit Fly Killer and Trap with Built in Window - 2 Traps + 90 day Lure Supply,$5.88,n/a,4 out of 5,6.0,6.0,90 day lure supply : each trap lasts for up to 45 days.,12.0,0.0
5,TERRO T2502 Ready-to-Use Indoor Fruit Fly Killer and Trap with Built in Window - 2 Traps + 90 day Lure Supply,$5.88,n/a,4 out of 5,6.0,6.0,90 day lure supply : each trap lasts for up to 45 days.,12.0,0.0
6,,,,,,,,,
7,TERRO T2502 Ready-to-Use Indoor Fruit Fly Killer and Trap with Built in Window - 2 Traps + 90 day Lure Supply,$5.88,n/a,4 out of 5,6.0,6.0,90 day lure supply : each trap lasts for up to 45 days.,12.0,0.0
8,"Gardguard 25ft Garden Hose Expandable: Expandable Water Hose with Durable 3-Layers Latex and 10 Function Nozzle, Durable Water Hose with Solid Fittings (BLUE)",$26.99,n/a,4.3 out of 5,6.0,2.0,no Description,0.0,0.0
9,"Gardguard 25ft Garden Hose Expandable: Expandable Water Hose with Durable 3-Layers Latex and 10 Function Nozzle, Durable Water Hose with Solid Fittings (BLUE)",$26.99,n/a,4.3 out of 5,6.0,2.0,no Description,0.0,0.0
