,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Earth Rated Dog Poop Bags, Extra Thick and Strong Poop Bags for Dogs, Guaranteed Leak-proof, 15 Doggy Bags Per Roll, Each Dog Poop Bag Measures 9 x 13 Inches",$7.99,n/a,4.8 out of 5,5.0,6.0,no Description,0.0,0.0
1,"Earth Rated Dog Poop Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 120 Count",$7.99,n/a,4.8 out of 5,5.0,6.0,no Description,0.0,0.0
2,,,,,,,,,
3,"Earth Rated Dog Poop Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 120 Count",$7.99,n/a,4.8 out of 5,5.0,6.0,no Description,0.0,0.0
4,Dr. Elsey's Cat Litter,$10.99,n/a,4.4 out of 5,6.0,3.0,"Larger denser particles that stay in the litter box, low tracking. The result is an excellent clumping litter that prevents moisture from reaching the bottom of the litter box, while providing a clump that will not break apart. Classic is perfect for multi-cat families and cat owners with sifting or mechanical litter boxes and it controls odor naturally without perfume, deodorants or chemicals.",62.0,0.0
5,Dr. Elsey's Cat Litter,$10.99,n/a,4.4 out of 5,6.0,3.0,"Larger denser particles that stay in the litter box, low tracking. The result is an excellent clumping litter that prevents moisture from reaching the bottom of the litter box, while providing a clump that will not break apart. Classic is perfect for multi-cat families and cat owners with sifting or mechanical litter boxes and it controls odor naturally without perfume, deodorants or chemicals.",62.0,0.0
6,,,,,,,,,
7,Dr. Elsey's Cat Litter,$10.99,n/a,4.4 out of 5,6.0,3.0,"Larger denser particles that stay in the litter box, low tracking. The result is an excellent clumping litter that prevents moisture from reaching the bottom of the litter box, while providing a clump that will not break apart. Classic is perfect for multi-cat families and cat owners with sifting or mechanical litter boxes and it controls odor naturally without perfume, deodorants or chemicals.",62.0,0.0
8,"Amazon Basics Dog and Puppy Pee Pads with Leak-Proof Quick-Dry Design for Potty Training, Heavy Duty Absorbency, X-Large, 28 x 34 Inches - Pack of 25",$21.29,n/a,4.5 out of 5,7.0,0.0,"Product Description
An Amazon Brand.
From the Manufacturer
Amazon Basics",6.0,0.0
9,"Amazon Basics Dog and Puppy Pee Pads with Leak-Proof Quick-Dry Design for Potty Training, Heavy Duty Absorbency, X-Large, 28 x 34 Inches - Pack of 25",$21.29,n/a,4.5 out of 5,7.0,0.0,"Product Description
An Amazon Brand.
From the Manufacturer
Amazon Basics",6.0,0.0
10,,,,,,,,,
11,"Amazon Basics Dog and Puppy Pee Pads with Leak-Proof Quick-Dry Design for Potty Training, Heavy Duty Absorbency, X-Large, 28 x 34 Inches - Pack of 25",$21.29,n/a,4.5 out of 5,7.0,0.0,"Product Description
An Amazon Brand.
From the Manufacturer
Amazon Basics",6.0,0.0
12,Nina Ottosson by Outward Hound Replacement Bones for Dog Puzzle - 5 Pack,$5.49,n/a,4.4 out of 5,2.0,0.0,"These replacement bones for select Nina Ottosson dog puzzles are for replacing damaged or lost bones from the Dog Brick, Dog Smart, and Dog Tornado games. Each pack comes with five replacement bones to keep your pup puzzling and practicing their nosework! Simply place bones over treat compartments in Nina Ottosson's Dog Brick, Dog Smart, or Dog Tornado games. Puzzle games are great for mental stimulation and dog enrichment by testing your dog's problem-solving skills. Remember: No toy parts are indestructible. Do not leave replacement bones with unsupervised pets. Remove and replace if damaged. PLAY BY THE RULES – SAFETY & CARE: When choosing a toy, make sure to choose an appropriate size/style/level for your dog. No toy or game is indestructible. ALWAYS supervise your dog closely, teach your dog how the game/toy works. Do not leave the dog alone with a treat game/toy, do not let the dog chew on the game/toy or pieces. Inspect regularly for damage and remove if broken, or if parts become separated, as serious injury may result. For dogs only, not a children's toy. When empty, store until next supervised use.",186.0,1.0
13,Nina Ottosson by Outward Hound Replacement Bones for Dog Puzzle - 5 Pack,$5.49,n/a,4.4 out of 5,2.0,0.0,"These replacement bones for select Nina Ottosson dog puzzles are for replacing damaged or lost bones from the Dog Brick, Dog Smart, and Dog Tornado games. Each pack comes with five replacement bones to keep your pup puzzling and practicing their nosework! Simply place bones over treat compartments in Nina Ottosson's Dog Brick, Dog Smart, or Dog Tornado games. Puzzle games are great for mental stimulation and dog enrichment by testing your dog's problem-solving skills. Remember: No toy parts are indestructible. Do not leave replacement bones with unsupervised pets. Remove and replace if damaged. PLAY BY THE RULES – SAFETY & CARE: When choosing a toy, make sure to choose an appropriate size/style/level for your dog. No toy or game is indestructible. ALWAYS supervise your dog closely, teach your dog how the game/toy works. Do not leave the dog alone with a treat game/toy, do not let the dog chew on the game/toy or pieces. Inspect regularly for damage and remove if broken, or if parts become separated, as serious injury may result. For dogs only, not a children's toy. When empty, store until next supervised use.",186.0,1.0
14,,,,,,,,,
