,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",Page 1 of 1,n/a,4.4 out of 5,6.0,2.0,"One convenient subscription for 1 person. Microsoft 365 Personal comes with premium Office apps, including Word, Excel, PowerPoint, Outlook, and more. Receive 1 TB of OneDrive cloud storage for 1 person which allows you to access, edit, and share your files and photos across all your devices—all while knowing your information is always backed up and protected.",56.0,0.0
1,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",Page 1 of 1,n/a,4.4 out of 5,6.0,2.0,"One convenient subscription for 1 person. Microsoft 365 Personal comes with premium Office apps, including Word, Excel, PowerPoint, Outlook, and more. Receive 1 TB of OneDrive cloud storage for 1 person which allows you to access, edit, and share your files and photos across all your devices—all while knowing your information is always backed up and protected.",56.0,0.0
2,,,,,,,,,
3,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",Page 1 of 1,n/a,4.4 out of 5,6.0,2.0,"One convenient subscription for 1 person. Microsoft 365 Personal comes with premium Office apps, including Word, Excel, PowerPoint, Outlook, and more. Receive 1 TB of OneDrive cloud storage for 1 person which allows you to access, edit, and share your files and photos across all your devices—all while knowing your information is always backed up and protected.",56.0,0.0
4,Microsoft Office Home & Student 2021 | One-time purchase for 1 PC or Mac| Download,$124.99,n/a,4.4 out of 5,5.0,0.0,For students and families who want classic Office apps installed on one PC or Mac for use at home or school.,20.0,0.0
5,Microsoft Office Home & Student 2021 | One-time purchase for 1 PC or Mac| Download,$124.99,n/a,4.4 out of 5,5.0,0.0,For students and families who want classic Office apps installed on one PC or Mac for use at home or school.,20.0,0.0
6,,,,,,,,,
7,Microsoft Office Home & Student 2021 | One-time purchase for 1 PC or Mac| Download,$124.99,n/a,4.4 out of 5,5.0,0.0,For students and families who want classic Office apps installed on one PC or Mac for use at home or school.,20.0,0.0
8,"McAfee Total Protection 2022 | 3 Device | Antivirus Internet Security Software | VPN, Password Manager, Dark Web Monitoring | 1 Year Subscription | Download Code",$24.99,n/a,4.3 out of 5,6.0,6.0,"All-in-one online protection for your personal info and privacy, so you can enjoy your life online. We make online security simple so you can bank, shop, browse, and connect with confidence. Access robust tools like Dark Web Monitoring and automated Secure VPN from any device, and be greeted with a consistent experience that meets you where you are. McAfee Secure VPN is now automated and integrated in our online protection service so there’s no need to install a separate app, making it easier than ever for you to protect your personal info when away from home. By encrypting your internet traffic, you can keep your credit card and personal data safer from prying eyes. Whether you’re paying bills, managing investments, or just exploring, Secure VPN helps you stay private. Your VPN can turn on automatically for public Wi-Fi, protecting account credentials, search habits, and more. We’ll carry forward our promise as a trusted market leader to protect the personal data and devices of everyone in your household whether they’re tech power-users, sporadic users, or somewhere in between. We care about your safety, privacy, and identity. And with over 600 million devices and the people behind them covered, we’re leading the industry when it comes to keeping the world safer online. We’ll handle the risk while you enjoy life online.
McAfee protections, including antivirus, are fully compatible with Windows 11. Both new Windows 11 users and those that upgrade from Windows 10 will be protected without interruption.
Operating System
Microsoft Windows 11, 10, 8.1 (32- and 64-bit). Windows Enterprise not supported.
Build 4.11.1 or higher: macOS 10.15 and above
Build 4.9.1: macOS 10.12 - 10.14
Google Android smartphones and tablets 7 or higher
Apple iOS 13 or later
Supported Browsers
Firefox
Google Chrome
Safari (macOS and iOS Only)
Microsoft Edge (Chromium-based)",287.0,2.0
9,"McAfee Total Protection 2022 | 3 Device | Antivirus Internet Security Software | VPN, Password Manager, Dark Web Monitoring | 1 Year Subscription | Download Code",$24.99,n/a,4.3 out of 5,6.0,6.0,"All-in-one online protection for your personal info and privacy, so you can enjoy your life online. We make online security simple so you can bank, shop, browse, and connect with confidence. Access robust tools like Dark Web Monitoring and automated Secure VPN from any device, and be greeted with a consistent experience that meets you where you are. McAfee Secure VPN is now automated and integrated in our online protection service so there’s no need to install a separate app, making it easier than ever for you to protect your personal info when away from home. By encrypting your internet traffic, you can keep your credit card and personal data safer from prying eyes. Whether you’re paying bills, managing investments, or just exploring, Secure VPN helps you stay private. Your VPN can turn on automatically for public Wi-Fi, protecting account credentials, search habits, and more. We’ll carry forward our promise as a trusted market leader to protect the personal data and devices of everyone in your household whether they’re tech power-users, sporadic users, or somewhere in between. We care about your safety, privacy, and identity. And with over 600 million devices and the people behind them covered, we’re leading the industry when it comes to keeping the world safer online. We’ll handle the risk while you enjoy life online.
McAfee protections, including antivirus, are fully compatible with Windows 11. Both new Windows 11 users and those that upgrade from Windows 10 will be protected without interruption.
Operating System
Microsoft Windows 11, 10, 8.1 (32- and 64-bit). Windows Enterprise not supported.
Build 4.11.1 or higher: macOS 10.15 and above
Build 4.9.1: macOS 10.12 - 10.14
Google Android smartphones and tablets 7 or higher
Apple iOS 13 or later
Supported Browsers
Firefox
Google Chrome
Safari (macOS and iOS Only)
Microsoft Edge (Chromium-based)",287.0,2.0
