,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Iron Flask Sports Water Bottle - 14 Oz, 3 Lids (Straw Lid), Leak Proof, Vacuum Insulated Stainless Steel, Double Walled, Thermo Mug, Metal Canteen",$17.95,n/a,4.8 out of 5,6.0,6.0,no Description,0.0,0.0
1,"Iron Flask Sports Water Bottle - 14 Oz, 3 Lids (Straw Lid), Leak Proof, Vacuum Insulated Stainless Steel, Double Walled, Thermo Mug, Metal Canteen",$17.95,n/a,4.8 out of 5,6.0,6.0,no Description,0.0,0.0
2,,,,,,,,,
3,"Iron Flask Sports Water Bottle - 14 Oz, 3 Lids (Straw Lid), Leak Proof, Vacuum Insulated Stainless Steel, Double Walled, Thermo Mug, Metal Canteen",$17.95,n/a,4.8 out of 5,6.0,6.0,no Description,0.0,0.0
4,"Cool Coolers by Fit + Fresh Slim Compact Reusable XL Ice Pack, Perfect for Lunch Boxes, Coolers, and Beach Bags, Blue, 4 Pack",$10.46,n/a,4.7 out of 5,2.0,0.0,"Cool Coolers by Fit + Fresh, XL Slim Ice Packs, Reusable & Long-Lasting Ice Pack, Perfect Addition To Your Camping Accessories, Insulated Lunch Bag, Cooler Backpack & More, 4PK, Blue",29.0,0.0
5,"Cool Coolers by Fit + Fresh Slim Compact Reusable XL Ice Pack, Perfect for Lunch Boxes, Coolers, and Beach Bags, Blue, 4 Pack",$10.46,n/a,4.7 out of 5,2.0,0.0,"Cool Coolers by Fit + Fresh, XL Slim Ice Packs, Reusable & Long-Lasting Ice Pack, Perfect Addition To Your Camping Accessories, Insulated Lunch Bag, Cooler Backpack & More, 4PK, Blue",29.0,0.0
6,,,,,,,,,
7,"Cool Coolers by Fit + Fresh Slim Compact Reusable XL Ice Pack, Perfect for Lunch Boxes, Coolers, and Beach Bags, Blue, 4 Pack",$10.46,n/a,4.7 out of 5,2.0,0.0,"Cool Coolers by Fit + Fresh, XL Slim Ice Packs, Reusable & Long-Lasting Ice Pack, Perfect Addition To Your Camping Accessories, Insulated Lunch Bag, Cooler Backpack & More, 4PK, Blue",29.0,0.0
8,Hydro Flask Wide Mouth Straw Lid - Stainless Steel Reusable Water Bottle - Vacuum Insulated,$39.95,n/a,4.8 out of 5,6.0,6.0,no description,0.0,0.0
9,Hydro Flask Wide Mouth Straw Lid - Stainless Steel Reusable Water Bottle - Vacuum Insulated,$39.95,n/a,4.8 out of 5,6.0,6.0,no description,0.0,0.0
