,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$26.99,n/a,4.7 out of 5,4.0,0.0,"Brand new, factory sealed, 2022 Topps Series 1 Baseball Trading Cards Blaster Box. Each box contains 99 total cards per box. 7 packs plus 1 exclusive commemorative relic card per box. Look for exclusive royal blue base card parallels. Hunt for serial numbered cards, homefield advantage inserts, super short print cards and more.",52.0,2.0
1,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$26.99,n/a,4.7 out of 5,4.0,0.0,"Brand new, factory sealed, 2022 Topps Series 1 Baseball Trading Cards Blaster Box. Each box contains 99 total cards per box. 7 packs plus 1 exclusive commemorative relic card per box. Look for exclusive royal blue base card parallels. Hunt for serial numbered cards, homefield advantage inserts, super short print cards and more.",52.0,2.0
2,,,,,,,,,
3,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$26.99,n/a,4.7 out of 5,4.0,0.0,"Brand new, factory sealed, 2022 Topps Series 1 Baseball Trading Cards Blaster Box. Each box contains 99 total cards per box. 7 packs plus 1 exclusive commemorative relic card per box. Look for exclusive royal blue base card parallels. Hunt for serial numbered cards, homefield advantage inserts, super short print cards and more.",52.0,2.0
4,2022 Topps Baseball Series 2 Hanger Pack,$19.90,n/a,4 out of 5,2.0,0.0,2022 Topps Series 2 Hanger Box - Contains 67 Cards Per Box,11.0,0.0
5,2022 Topps Baseball Series 2 Hanger Pack,$19.90,n/a,4 out of 5,2.0,0.0,2022 Topps Series 2 Hanger Box - Contains 67 Cards Per Box,11.0,0.0
6,,,,,,,,,
7,2022 Topps Baseball Series 2 Hanger Pack,$19.90,n/a,4 out of 5,2.0,0.0,2022 Topps Series 2 Hanger Box - Contains 67 Cards Per Box,11.0,0.0
8,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,$13.50,n/a,4.4 out of 5,4.0,0.0,"You will receive at least (100) NFL Football cards in factory sealed, vintage packs. Brands may include Topps, Bowman, Fleer, Pro Set, Score, Upper Deck and more. Years range from 1980's-1990's. These packs are factory sealed and randomly selected- we cannot offer any guarantee as to the players you will receive.100 cards is typically equal to 6-7 sealed packs.",58.0,0.0
9,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,$13.50,n/a,4.4 out of 5,4.0,0.0,"You will receive at least (100) NFL Football cards in factory sealed, vintage packs. Brands may include Topps, Bowman, Fleer, Pro Set, Score, Upper Deck and more. Years range from 1980's-1990's. These packs are factory sealed and randomly selected- we cannot offer any guarantee as to the players you will receive.100 cards is typically equal to 6-7 sealed packs.",58.0,0.0
10,,,,,,,,,
