,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Brita™ Elite™ Water Filter, Advanced Carbon Core Technology™ Replacement Filter for Pitcher and Dispensers, Made Without BPA, Reduces 99% of Lead, 1 Count (Package May Vary)",$16.99,n/a,4.6 out of 5,6.0,4.0,"Keep tap water healthier and tasting better longer with Brita Longlast+ Pitcher Replacement Filters, which remove 99% of lead in your water. These long-lasting water filters are made with pleated filter technology for 3x longer life compared to 40 gallon filters. Longlast+ replacement filters reduce lead, asbestos, mercury, benzene, cadmium, and more. Change the Longlast+ filters every 120 gallons, about every 6 months for best performance. The pull top cap on these filters makes insertion and removal easy. With activated carbon to reduce chlorine taste and odor, these filters deliver great-tasting water and maintain a healthy level of fluoride (applies to fluoridated municipal tap water). The fibrous matrix in the filter holds active ingredients in place so no black flecks appear in your water. One Longlast+ Filter can replace 900 standard 16.9 ounce water bottles and reduces more contaminants vs. PUR and ZeroWater (based on NSF/WQA certifications for Brita OB06, PUR PPF951K, and ZeroWater ZF-201 pitcher filters as of 10/15/20). See certifications. Substances reduced may not be in all users’ water. Vs. tap. No bottles to throw away. 16.9 oz bottle. Approximate timing based on average family usage and 120-gallon filter.",190.0,1.0
1,"Brita™ Elite™ Water Filter, Advanced Carbon Core Technology™ Replacement Filter for Pitcher and Dispensers, Made Without BPA, Reduces 99% of Lead, 1 Count (Package May Vary)",$16.99,n/a,4.6 out of 5,6.0,4.0,"Keep tap water healthier and tasting better longer with Brita Longlast+ Pitcher Replacement Filters, which remove 99% of lead in your water. These long-lasting water filters are made with pleated filter technology for 3x longer life compared to 40 gallon filters. Longlast+ replacement filters reduce lead, asbestos, mercury, benzene, cadmium, and more. Change the Longlast+ filters every 120 gallons, about every 6 months for best performance. The pull top cap on these filters makes insertion and removal easy. With activated carbon to reduce chlorine taste and odor, these filters deliver great-tasting water and maintain a healthy level of fluoride (applies to fluoridated municipal tap water). The fibrous matrix in the filter holds active ingredients in place so no black flecks appear in your water. One Longlast+ Filter can replace 900 standard 16.9 ounce water bottles and reduces more contaminants vs. PUR and ZeroWater (based on NSF/WQA certifications for Brita OB06, PUR PPF951K, and ZeroWater ZF-201 pitcher filters as of 10/15/20). See certifications. Substances reduced may not be in all users’ water. Vs. tap. No bottles to throw away. 16.9 oz bottle. Approximate timing based on average family usage and 120-gallon filter.",190.0,1.0
2,,,,,,,,,
3,"Brita™ Elite™ Water Filter, Advanced Carbon Core Technology™ Replacement Filter for Pitcher and Dispensers, Made Without BPA, Reduces 99% of Lead, 1 Count (Package May Vary)",$16.99,n/a,4.6 out of 5,6.0,4.0,"Keep tap water healthier and tasting better longer with Brita Longlast+ Pitcher Replacement Filters, which remove 99% of lead in your water. These long-lasting water filters are made with pleated filter technology for 3x longer life compared to 40 gallon filters. Longlast+ replacement filters reduce lead, asbestos, mercury, benzene, cadmium, and more. Change the Longlast+ filters every 120 gallons, about every 6 months for best performance. The pull top cap on these filters makes insertion and removal easy. With activated carbon to reduce chlorine taste and odor, these filters deliver great-tasting water and maintain a healthy level of fluoride (applies to fluoridated municipal tap water). The fibrous matrix in the filter holds active ingredients in place so no black flecks appear in your water. One Longlast+ Filter can replace 900 standard 16.9 ounce water bottles and reduces more contaminants vs. PUR and ZeroWater (based on NSF/WQA certifications for Brita OB06, PUR PPF951K, and ZeroWater ZF-201 pitcher filters as of 10/15/20). See certifications. Substances reduced may not be in all users’ water. Vs. tap. No bottles to throw away. 16.9 oz bottle. Approximate timing based on average family usage and 120-gallon filter.",190.0,1.0
4,"Filtrete 20x25x1 AC Furnace Air Filter, Merv 8 MPR 700, Dust, Pollen, & Pet Dander, 4-Pack (exact dimensions 25.56x19.88x1.56)",$48.85,n/a,4.1 out of 5,6.0,3.0,"You run a tight ship at home, from floor to ceiling--and everywhere in between. Unfortunately, ordinary home non-electrostatic air filters aren’t super effective at capturing unwanted particles. GOOD NEWS : The unique design of the electrostatically charged Filtrete Dust, Pollen & Pet Dander Air Filter attracts--and traps--more particles from your air through your heating and cooling system, making quality control a breeze. With each cycle through the filter, your indoor air becomes a little bit cleaner.",75.0,1.0
5,"Filtrete 20x25x1 AC Furnace Air Filter, Merv 8 MPR 700, Dust, Pollen, & Pet Dander, 4-Pack (exact dimensions 25.56x19.88x1.56)",$48.85,n/a,4.1 out of 5,6.0,3.0,"You run a tight ship at home, from floor to ceiling--and everywhere in between. Unfortunately, ordinary home non-electrostatic air filters aren’t super effective at capturing unwanted particles. GOOD NEWS : The unique design of the electrostatically charged Filtrete Dust, Pollen & Pet Dander Air Filter attracts--and traps--more particles from your air through your heating and cooling system, making quality control a breeze. With each cycle through the filter, your indoor air becomes a little bit cleaner.",75.0,1.0
6,,,,,,,,,
7,"Filtrete 20x25x1 AC Furnace Air Filter, Merv 8 MPR 700, Dust, Pollen, & Pet Dander, 4-Pack (exact dimensions 25.56x19.88x1.56)",$48.85,n/a,4.1 out of 5,6.0,3.0,"You run a tight ship at home, from floor to ceiling--and everywhere in between. Unfortunately, ordinary home non-electrostatic air filters aren’t super effective at capturing unwanted particles. GOOD NEWS : The unique design of the electrostatically charged Filtrete Dust, Pollen & Pet Dander Air Filter attracts--and traps--more particles from your air through your heating and cooling system, making quality control a breeze. With each cycle through the filter, your indoor air becomes a little bit cleaner.",75.0,1.0
8,"Amazon Basics 3-Shelf Adjustable, Heavy Duty Storage Shelving Unit (250 lbs loading capacity per shelf), Steel Organizer Wire Rack, Black (23.3L x 13.4W x 30H)",$27.98,n/a,4.7 out of 5,5.0,6.0,"Product Description
An Amazon Brand.
From the Manufacturer
Amazon Basics",6.0,0.0
9,"Amazon Basics 3-Shelf Adjustable, Heavy Duty Storage Shelving Unit (250 lbs loading capacity per shelf), Steel Organizer Wire Rack, Black (23.3L x 13.4W x 30H)",$27.98,n/a,4.7 out of 5,5.0,6.0,"Product Description
An Amazon Brand.
From the Manufacturer
Amazon Basics",6.0,0.0
