,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,"Hasbro Gaming Clue: Wizarding World Harry Potter Edition Mystery Board Game for 3-5 Players, Kids Ages 8 and Up (Amazon Exclusive)",$33.26,n/a,4.8 out of 5,6.0,1.0,"In this Harry Potter Edition of the Clue game, a student has vanished from the Hogwarts School of Witchcraft and Wizardry. Who can solve the mysterious disappearance? Kids play as Harry, Ron, Hermione, Ginny, Luna, or Neville to discover who did it, what spell or item was used, and where the attack happened. Harry Potter fans will recognize the Owlery, Trophy Room, and other Wizarding World places on the Hogwarts gameboard. Rolling a house crest on the Hogwarts die lets the player move a wheel on the board one notch. It'll reveal secret passages, changing staircases, doors that may or may not be available to use, or the Dark Mark may appear. Go from location to location in Hogwarts and narrow down possibilities as other players show their cards. If someone thinks they've solved the case, they head to Dumbledore's office to make an accusation. A correct accusation wins the game. The board game is for kids ages 8 and up.

Hasbro Gaming and all related trademarks and logos are trademarks of Hasbro, Inc.",172.0,0.0
1,"Hasbro Gaming Clue: Wizarding World Harry Potter Edition Mystery Board Game for 3-5 Players, Kids Ages 8 and Up (Amazon Exclusive)",$33.26,n/a,4.8 out of 5,6.0,1.0,"In this Harry Potter Edition of the Clue game, a student has vanished from the Hogwarts School of Witchcraft and Wizardry. Who can solve the mysterious disappearance? Kids play as Harry, Ron, Hermione, Ginny, Luna, or Neville to discover who did it, what spell or item was used, and where the attack happened. Harry Potter fans will recognize the Owlery, Trophy Room, and other Wizarding World places on the Hogwarts gameboard. Rolling a house crest on the Hogwarts die lets the player move a wheel on the board one notch. It'll reveal secret passages, changing staircases, doors that may or may not be available to use, or the Dark Mark may appear. Go from location to location in Hogwarts and narrow down possibilities as other players show their cards. If someone thinks they've solved the case, they head to Dumbledore's office to make an accusation. A correct accusation wins the game. The board game is for kids ages 8 and up.

Hasbro Gaming and all related trademarks and logos are trademarks of Hasbro, Inc.",172.0,0.0
2,,,,,,,,,
3,"Hasbro Gaming Clue: Wizarding World Harry Potter Edition Mystery Board Game for 3-5 Players, Kids Ages 8 and Up (Amazon Exclusive)",$33.26,n/a,4.8 out of 5,6.0,1.0,"In this Harry Potter Edition of the Clue game, a student has vanished from the Hogwarts School of Witchcraft and Wizardry. Who can solve the mysterious disappearance? Kids play as Harry, Ron, Hermione, Ginny, Luna, or Neville to discover who did it, what spell or item was used, and where the attack happened. Harry Potter fans will recognize the Owlery, Trophy Room, and other Wizarding World places on the Hogwarts gameboard. Rolling a house crest on the Hogwarts die lets the player move a wheel on the board one notch. It'll reveal secret passages, changing staircases, doors that may or may not be available to use, or the Dark Mark may appear. Go from location to location in Hogwarts and narrow down possibilities as other players show their cards. If someone thinks they've solved the case, they head to Dumbledore's office to make an accusation. A correct accusation wins the game. The board game is for kids ages 8 and up.

Hasbro Gaming and all related trademarks and logos are trademarks of Hasbro, Inc.",172.0,0.0
4,"Crayola Colored Pencil Set, School Supplies, Assorted Colors, 36 Count, Long",$5.99,n/a,4.8 out of 5,7.0,0.0,"Product Description
Transform creative ideas into colorful art with Crayola Colored Pencils! This pack features 36 colored pencils for kids and adults to bring ideas to life. The perfect colored pencil set for any artist, there's a wide range of vivid colors inside to help inspire imagination. Each pre sharpened drawing pencil has a thick, soft point that won't break easily, making them great for school projects and detailed artwork. Use them as blending or shading pencils for seamless designs, or to fill in coloring pages. Pair with a Crayola coloring book for a great gift for kids. Ideal for ages 5 and up.
From the Manufacturer
Crayola 36ct Colored Pencils. The art material of choice. Perfect for school projects.",116.0,1.0
5,"Crayola Colored Pencil Set, School Supplies, Assorted Colors, 36 Count, Long",$5.99,n/a,4.8 out of 5,7.0,0.0,"Product Description
Transform creative ideas into colorful art with Crayola Colored Pencils! This pack features 36 colored pencils for kids and adults to bring ideas to life. The perfect colored pencil set for any artist, there's a wide range of vivid colors inside to help inspire imagination. Each pre sharpened drawing pencil has a thick, soft point that won't break easily, making them great for school projects and detailed artwork. Use them as blending or shading pencils for seamless designs, or to fill in coloring pages. Pair with a Crayola coloring book for a great gift for kids. Ideal for ages 5 and up.
From the Manufacturer
Crayola 36ct Colored Pencils. The art material of choice. Perfect for school projects.",116.0,1.0
6,,,,,,,,,
7,"Crayola Colored Pencil Set, School Supplies, Assorted Colors, 36 Count, Long",$5.99,n/a,4.8 out of 5,7.0,0.0,"Product Description
Transform creative ideas into colorful art with Crayola Colored Pencils! This pack features 36 colored pencils for kids and adults to bring ideas to life. The perfect colored pencil set for any artist, there's a wide range of vivid colors inside to help inspire imagination. Each pre sharpened drawing pencil has a thick, soft point that won't break easily, making them great for school projects and detailed artwork. Use them as blending or shading pencils for seamless designs, or to fill in coloring pages. Pair with a Crayola coloring book for a great gift for kids. Ideal for ages 5 and up.
From the Manufacturer
Crayola 36ct Colored Pencils. The art material of choice. Perfect for school projects.",116.0,1.0
8,LOL Surprise Present Surprise™ Series 3 Birthday Month Theme with 8 Surprises (2 Sticker Sheets),"LOL Surprise Tweens Series 2 Fashion Doll Gracie Skates with 15 Surprises Including Pink Outfit and Accessories for Fashion Toy Girls Ages 3 and up, 6 inch Doll",n/a,4.7 out of 5,6.0,3.0,"Unbox 8 surprises and the perfect gift or glittery party favor for any occasion with LOL Surprise Present Surprise™ Series 3! Each comes already comes already wrapped in a unique, gift bag package with a bow on top for an all new unboxing experience. Unbox to reveal a fierce, fashionable doll with glitter and shimmer details on outfits and hair! What's your birthday month? Each all-new adorable character is inspired by an activity specific to their month from her fashion to her accessories. Will you find your birthday month? Feed doll with the bottle or bathe your doll to reveal a water surprise, including color change. Each surprise doll also includes birthday month themed accessories and a secret message. Collect all 12 LOL Surprise Present Surprise™ Series 3 dolls! LOL Surprise collectible dolls with stylish hair, fun to dress outfits and many detailed accessory pieces make a perfect toy and playset for kids including 4 to 7 year olds and up girls and boys for imaginative pretend play! As birthday gifts and gift for any special occasion, dolls provide hours of social play with siblings and friends! From MGA Entertainment, creators of LOL Surprise fashion and collectible dolls, Rainbow High fashion dolls, Na Na Na Surprise dolls, Bratz fashion dolls, MGA's Dream Ella fashion dolls, MGA's Glitter Babyz baby dolls, Lalaloopsy, Poopsie Surprise girls dolls, Baby born Surprise Baby Dolls and Collectibles, Little Tikes kids toys and many other favorite brands.",240.0,2.0
9,LOL Surprise Present Surprise™ Series 3 Birthday Month Theme with 8 Surprises (2 Sticker Sheets),"LOL Surprise Remix Rock Dolls Lil Sisters with 7 Surprises Including Instrument - Collectible Doll Toy, Gift for Kids, Toys for Girls and Boys Ages 4 5 6 7+ Years Old, Multi color",n/a,4.7 out of 5,6.0,3.0,"Unbox 8 surprises and the perfect gift or glittery party favor for any occasion with LOL Surprise Present Surprise™ Series 3! Each comes already comes already wrapped in a unique, gift bag package with a bow on top for an all new unboxing experience. Unbox to reveal a fierce, fashionable doll with glitter and shimmer details on outfits and hair! What's your birthday month? Each all-new adorable character is inspired by an activity specific to their month from her fashion to her accessories. Will you find your birthday month? Feed doll with the bottle or bathe your doll to reveal a water surprise, including color change. Each surprise doll also includes birthday month themed accessories and a secret message. Collect all 12 LOL Surprise Present Surprise™ Series 3 dolls! LOL Surprise collectible dolls with stylish hair, fun to dress outfits and many detailed accessory pieces make a perfect toy and playset for kids including 4 to 7 year olds and up girls and boys for imaginative pretend play! As birthday gifts and gift for any special occasion, dolls provide hours of social play with siblings and friends! From MGA Entertainment, creators of LOL Surprise fashion and collectible dolls, Rainbow High fashion dolls, Na Na Na Surprise dolls, Bratz fashion dolls, MGA's Dream Ella fashion dolls, MGA's Glitter Babyz baby dolls, Lalaloopsy, Poopsie Surprise girls dolls, Baby born Surprise Baby Dolls and Collectibles, Little Tikes kids toys and many other favorite brands.",240.0,2.0
10,,,,,,,,,
